"PK_ACTVTY";"FPK_NATURA";"SITECODE";"ACT_CODE";"DESCRIPT_FR";"IN_OUT";"INTENSITY";"INFLUENCE";"POLLUTION";"HABITATS";"ESPECES"
"64257";"7838";"FR7310088";"B02";"Gestion des forêts et des plantations & exploitation";"B";"L";"-";;;
"64258";"7838";"FR7310088";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"B";"L";"-";;;
"64259";"7838";"FR7310088";"G01.06";"Ski, ski hors-piste";"I";"L";"-";;;
"64260";"7838";"FR7310088";"G02.02";"Station de ski";"I";"L";"-";;;
"64261";"7838";"FR7310088";"A03";"Fauche de prairies";"B";"H";"+";;;
"64262";"7838";"FR7310088";"A05.01";"Elevage";"B";"H";"+";;;
"64263";"7838";"FR7310088";"D02.01";"Lignes électriques et téléphoniques";"B";"L";"-";;;
"64264";"7838";"FR7310088";"F02.03";"Pêche de loisirs";"B";"L";"-";;;
"51689";"6716";"FR9412001";"D04.02";"Aérodromes, héliports";"I";"M";"x";;;
"51690";"6716";"FR9412001";"D04.02";"Aérodromes, héliports";"O";"L";"x";;;
"64265";"7838";"FR7310088";"F03.01";"Chasse";"B";"L";"-";;;
"64266";"7838";"FR7310088";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"B";"L";"-";;;
"64267";"7838";"FR7310088";"A04.01";"Pâturage intensif";"B";"L";"-";;;
"51691";"6716";"FR9412001";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"H";"-";;;
"51692";"6716";"FR9412001";"F06";"Autres activités de chasse, de pêche ou de collecte";"O";"M";"-";;;
"64268";"7838";"FR7310088";"A04.02";"Pâturage extensif";"B";"H";"+";;;
"64269";"7838";"FR7310088";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"B";"H";"-";;;
"64270";"7838";"FR7310088";"G01.04";"Alpinisme, escalade, spéléologie";"B";"L";"-";;;
"64271";"7838";"FR7310088";"G01.08";"Autres activités de plein air et de loisirs";"B";"L";"-";;;
"74253";"8572";"FR7200672";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"22681";"4051";"FR7300838";"G01.04";"Alpinisme, escalade, spéléologie";"I";"N";"x";;;
"74254";"8572";"FR7200672";"A02.03";"Retournement de prairies";"I";"H";"-";;;
"74255";"8572";"FR7200672";"A03.03";"Abandon / Absence de fauche";"I";"M";"-";;;
"74256";"8572";"FR7200672";"C01";"Exploitation minière et en carrière";"I";"M";"-";;;
"50225";"6557";"FR3100481";"K02.02";"Accumulation de matière organique";"I";"M";"-";;;
"50226";"6557";"FR3100481";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"50227";"6557";"FR3100481";"K02.04";"Acidification (naturelle)";"I";"M";"+";;;
"50228";"6558";"FR3102005";"F02.01.02";"Pêche au filet";"I";"L";"-";;;
"50229";"6558";"FR3102005";"F02.02";"Pêche professionnelle active (arts trainants)";"I";"L";"-";;;
"50230";"6558";"FR3102005";"F02.03";"Pêche de loisirs";"I";"L";"-";;;
"50231";"6558";"FR3102005";"F03.01";"Chasse";"B";"N";"x";;;
"50232";"6558";"FR3102005";"G01.01";"Sports nautiques";"I";"L";"-";;;
"50233";"6558";"FR3102005";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"O";"N";"x";;;
"50234";"6558";"FR3102005";"J02.02";"Extraction de sédiments (vase, …)";"I";"L";"-";;;
"50235";"6558";"FR3102005";"L07";"Tempête, cyclone";"I";"L";"-";;;
"50236";"6558";"FR3102005";"C01.01";"Extraction de sable et graviers";"I";"L";"-";;;
"50237";"6558";"FR3102005";"D03.02";"Voies de navigation";"I";"L";"-";;;
"50238";"6558";"FR3102005";"F01";"Aquaculture (eau douce et marine)";"I";"L";"-";;;
"50239";"6559";"FR4100196";"A05.01";"Elevage";"I";"L";"+";;;
"50240";"6559";"FR4100196";"B";"Sylviculture et opérations forestières";"I";"H";"x";;;
"50241";"6559";"FR4100196";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"H";"-";;;
"50242";"6559";"FR4100196";"D01.02";"Routes, autoroutes";"I";"H";"-";;;
"50243";"6559";"FR4100196";"F03.01";"Chasse";"I";"L";"x";;;
"50244";"6559";"FR4100196";"G01.03";"Véhicules motorisés";"I";"M";"-";;;
"50245";"6559";"FR4100196";"G01.06";"Ski, ski hors-piste";"I";"M";"-";;;
"50246";"6559";"FR4100196";"G05.04";"Vandalisme";"I";"L";"-";;;
"50247";"6559";"FR4100196";"K04.05";"Dégâts provoqués par les herbivores (gibier inclus)";"I";"H";"-";;;
"50256";"6561";"FR4112005";"A03.01";"Fauche intensive ou intensification";"I";"H";"-";;;
"50303";"6564";"FR4211790";"B";"Sylviculture et opérations forestières";"I";"H";"+";;;
