"PK_BIOGEO";"FPK_NATURA";"SITECODE";"CODE_BIOGEO";"NAME_FR";"NAME_UE";"COVER"
"119";"2137";"FR2100344";"8";"Continentale";"continental";"100"
"167";"2181";"FR2200387";"4";"Atlantique";"atlantic";"100"
"171";"2173";"FR2200392";"4";"Atlantique";"atlantic";"100"
"178";"3147";"FR2210026";"4";"Atlantique";"atlantic";"100"
"179";"3148";"FR2210068";"4";"Atlantique";"atlantic";"100"
"180";"3149";"FR2210104";"4";"Atlantique";"atlantic";"100"
"181";"3150";"FR2212001";"4";"Atlantique";"atlantic";"100"
"182";"3151";"FR2212002";"4";"Atlantique";"atlantic";"100"
"184";"3153";"FR2212004";"4";"Atlantique";"atlantic";"2,98"
"185";"3153";"FR2212004";"8";"Continentale";"continental";"96,78"
"186";"3154";"FR2212005";"4";"Atlantique";"atlantic";"100"
"187";"3155";"FR2212006";"4";"Atlantique";"atlantic";"100"
"188";"3156";"FR2212007";"4";"Atlantique";"atlantic";"100"
"219";"3157";"FR2310044";"4";"Atlantique";"atlantic";"100"
"221";"3159";"FR2312003";"4";"Atlantique";"atlantic";"100"
"330";"3175";"FR2510037";"4";"Atlantique";"atlantic";"100"
"331";"3176";"FR2510046";"4";"Atlantique";"atlantic";
"332";"3176";"FR2510046";"5";"Méditerranéenne";"mediterranean";
"333";"3177";"FR2510047";"4";"Atlantique";"atlantic";"100"
"334";"3178";"FR2510048";"4";"Atlantique";"atlantic";"100"
"335";"3179";"FR2510059";"4";"Atlantique";"atlantic";"100"
"336";"3180";"FR2510099";"4";"Atlantique";"atlantic";"100"
"337";"3181";"FR2512001";"4";"Atlantique";"atlantic";"100"
"338";"3182";"FR2512002";"4";"Atlantique";"atlantic";"100"
"339";"3183";"FR2512003";"4";"Atlantique";"atlantic";"100"
"340";"3184";"FR2512004";"4";"Atlantique";"atlantic";"100"
"403";"3193";"FR2612008";"4";"Atlantique";"atlantic";"100"
"436";"1867";"FR3102004";"4";"Atlantique";"atlantic";"100"
"438";"3196";"FR3110038";"4";"Atlantique";"atlantic";"100"
"439";"3197";"FR3110039";"4";"Atlantique";"atlantic";"100"
"440";"3198";"FR3110083";"4";"Atlantique";"atlantic";"100"
"441";"3199";"FR3110085";"4";"Atlantique";"atlantic";"100"
"442";"3200";"FR3112001";"8";"Continentale";"continental";"100"
"443";"3201";"FR3112002";"4";"Atlantique";"atlantic";"100"
"444";"3202";"FR3112003";"4";"Atlantique";"atlantic";"100"
"445";"3203";"FR3112004";"4";"Atlantique";"atlantic";"100"
"446";"3204";"FR3112005";"4";"Atlantique";"atlantic";"100"
"447";"3205";"FR3112006";"4";"Atlantique";"atlantic";"100"
"452";"1873";"FR4100157";"8";"Continentale";"continental";"100"
"466";"1844";"FR4100175";"8";"Continentale";"continental";"100"
"467";"1845";"FR4100177";"8";"Continentale";"continental";"100"
