"PK_NATURA";"SITECODE";"SITE_NAME";"TYPE";"DATE_";"UPDATE_";"DATE_PROP";"DATE_LAST_PROP";"DATE_FIRST_CON";"DATE_CON";"SAC_DATE_INIT";"SAC_DATE";"SPA_DATE_INIT";"SPA_DATE";"AREA";"MARINE_AREA_POURC";"LONGITUDE";"LATITUDE";"FR_ALT_MAX";"FR_ALT_MIN";"FR_ALT_MEAN";"CD_REG";"INSPIRE_ID";"EXIST_PLAN";"SPA_LEGAL_REF";"SAC_LEGAL_REF";"EXPLANATIONS";"DATE_INTEGRATION"
"1776";"FR4201810";"Vallée de la Doller";"B";31/12/1995 00:00:00;31/1/2004 00:00:00;28/2/2003 00:00:00;28/2/2004 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;1155,00;;7,22;47,74;"350";"250";"280";"42";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018564346";;27/3/2007 00:00:00
"1794";"FR4202003";"Vallée de la Sarre, de l'Albe et de l'Isch, le marais du Francaltroff, Bas-Rhin";"B";30/9/2002 00:00:00;31/1/2004 00:00:00;28/2/2003 00:00:00;28/2/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;517,00;;7,02;48,95;"276";"215";"235";"42";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018570787";;27/3/2007 00:00:00
"1844";"FR4100175";"Mines de Mairelles, de Château Lambert, réseau Jean Antoine, secteur le Thillot";"B";30/11/1995 00:00:00;31/8/2008 00:00:00;31/8/1998 00:00:00;31/8/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;6,00;;6,77;47,85;;;"690";"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018564465";;30/4/2009 00:00:00
"1845";"FR4100177";"Gîtes à chiroptères de la Colline inspirée - Erablières, pelouses, église et château de Vandeleville";"B";30/9/1998 00:00:00;31/8/2008 00:00:00;31/12/1998 00:00:00;31/12/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;27/5/2009 00:00:00;27/5/2009 00:00:00;;;34,00;;5,99;48,42;"460";"260";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020776810";;30/4/2009 00:00:00
"1849";"FR4100194";"Forêt domaniale de Gérardmer ouest (La Morte Femme, Faignes de Noir Rupt)";"B";30/11/1995 00:00:00;31/8/2008 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;1011,00;;6,80;48,06;"1010";"600";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018570871";;30/4/2009 00:00:00
"1867";"FR3102004";"Ridens et dunes hydrauliques du détroit du Pas-de-Calais";"B";30/6/2008 00:00:00;;30/9/2010 00:00:00;30/9/2010 00:00:00;18/11/2011 00:00:00;18/11/2011 00:00:00;10/2/2016 00:00:00;10/2/2016 00:00:00;;;68245,00;"100";1,24;50,66;"0";"-56";;"31";;"false";;"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032097269&dateTexte=";;30/9/2010 00:00:00
"1873";"FR4100157";"Plateau de Malzéville";"B";28/2/2006 00:00:00;31/8/2008 00:00:00;30/4/2006 00:00:00;30/4/2006 00:00:00;13/11/2007 00:00:00;13/11/2007 00:00:00;5/4/2016 00:00:00;5/4/2016 00:00:00;;;439,00;;6,20;48,72;"384";"239";;"41";;"false";;"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032393761&dateTexte=";;30/4/2009 00:00:00
"1892";"FR4100193";"Crêtes des Vosges mosellanes";"B";30/11/1995 00:00:00;31/8/2008 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;27/5/2009 00:00:00;27/5/2009 00:00:00;;;1583,00;;7,24;48,58;"1010";"521";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020776705";;30/4/2009 00:00:00
"1899";"FR4100246";"Gîtes à chauves-souris autour de Saint-Dié";"B";30/9/2000 00:00:00;31/8/2008 00:00:00;30/4/2002 00:00:00;30/4/2002 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;27/5/2009 00:00:00;27/5/2009 00:00:00;;;0,04;;6,96;48,31;"645";"430";"500";"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020776740";;30/4/2009 00:00:00
"1900";"FR4100247";"Carrières du Perthois : gîtes à chauves-souris";"B";30/9/2000 00:00:00;31/8/2008 00:00:00;30/9/2000 00:00:00;30/9/2000 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;27/5/2009 00:00:00;27/5/2009 00:00:00;;;0,13;;5,14;48,60;"310";"250";"275";"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020776745";;30/4/2009 00:00:00
"1905";"FR4100197";"Massif de Vologne";"B";30/11/1995 00:00:00;31/1/2004 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;598,00;;6,84;48,10;"926";"560";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018570883";;5/7/2006 00:00:00
"1906";"FR4100198";"Massif de Haute Meurthe, défilé de Straiture";"B";30/11/1995 00:00:00;31/1/2004 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;959,00;;6,98;48,11;"1124";"631";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018570889";;5/7/2006 00:00:00
"1908";"FR4100201";"Hêtraie sapinière de Bousson et Grandcheneau";"B";30/9/1998 00:00:00;31/1/2004 00:00:00;30/4/2002 00:00:00;30/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;27/5/2009 00:00:00;27/5/2009 00:00:00;;;1049,00;;7,01;48,51;"661";"320";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020776715";;5/7/2006 00:00:00
"1909";"FR4100202";"Massif forestier de Longegoutte";"B";30/11/1995 00:00:00;31/1/2004 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;356,00;;6,70;47,95;"900";"850";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018570895";;5/7/2006 00:00:00
"1912";"FR4100205";"Tourbière de Lispach";"B";30/11/1995 00:00:00;31/10/2004 00:00:00;30/4/2002 00:00:00;30/4/2002 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;11,00;;6,94;48,05;"1200";"800";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018571431";;5/7/2006 00:00:00
"1914";"FR4100207";"Etang et tourbière de la Demoiselle";"B";30/9/2000 00:00:00;;30/4/2002 00:00:00;30/4/2002 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;15,00;;6,54;48,00;"547";"544";"545";"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018570907";;5/7/2006 00:00:00
