"PK_REGCODE";"FPK_NATURA";"SITECODE";"CD_INSEE";"LB_ADM";"LB_INTERSECT"
"1345";"2181";"FR2200387";"02135";"Buironfosse";"P"
"1346";"2181";"FR2200387";"02284";"Erloy";"P"
"1347";"2181";"FR2200387";"02728";"Sorbais";"P"
"1366";"2173";"FR2200392";"02052";"Bassoles-Aulers";"P"
"1367";"2173";"FR2200392";"02153";"Cessières-Suzy";"P"
"1368";"2173";"FR2200392";"02159";"Champs";"P"
"1369";"2173";"FR2200392";"02318";"Folembray";"P"
"1371";"2173";"FR2200392";"02599";"Pierremande";"P"
"1372";"2173";"FR2200392";"02619";"Prémontré";"P"
"1373";"2173";"FR2200392";"02680";"Saint-Gobain";"P"
"1374";"2173";"FR2200392";"02685";"Saint-Nicolas-aux-Bois";"P"
"1375";"2173";"FR2200392";"02719";"Sinceny";"P"
"1442";"3147";"FR2210026";"02659";"Rouvroy";"P"
"1443";"3147";"FR2210026";"02691";"Saint-Quentin";"P"
"1444";"3148";"FR2210068";"80228";"Crotoy";"P"
"1445";"3148";"FR2210068";"80333";"Fort-Mahon-Plage";"P"
"1446";"3148";"FR2210068";"80649";"Quend";
"1447";"3148";"FR2210068";"80713";"Saint-Quentin-en-Tourmont";"P"
"1448";"3149";"FR2210104";"02001";"Abbécourt";"P"
"1449";"3149";"FR2210104";"02014";"Amigny-Rouy";"P"
"1450";"3149";"FR2210104";"02016";"Andelain";"P"
"1451";"3149";"FR2210104";"02041";"Autreville";"P"
"1452";"3149";"FR2210104";"02059";"Beautor";"P"
"1453";"3149";"FR2210104";"02086";"Bichancourt";"P"
"1454";"3149";"FR2210104";"02173";"Chauny";"P"
"1455";"3149";"FR2210104";"02212";"Condren";"P"
"1456";"3149";"FR2210104";"02262";"Deuillet";"P"
"1457";"3149";"FR2210104";"02304";"Fère";"P"
"1458";"3149";"FR2210104";"02456";"Manicamp";"P"
"1459";"3149";"FR2210104";"02461";"Marest-Dampcourt";"P"
"1460";"3149";"FR2210104";"02566";"Ognes";"P"
"1461";"3149";"FR2210104";"02631";"Quierzy";"P"
"1462";"3149";"FR2210104";"02686";"Saint-Paul-aux-Bois";"P"
"1463";"3149";"FR2210104";"02716";"Servais";"P"
"1464";"3149";"FR2210104";"02719";"Sinceny";"P"
"1465";"3149";"FR2210104";"02738";"Tergnier";"P"
"1466";"3149";"FR2210104";"02820";"Viry-Noureuil";"P"
"1467";"3149";"FR2210104";"60021";"Appilly";"P"
"1468";"3149";"FR2210104";"60037";"Babœuf";"P"
"1469";"3149";"FR2210104";"60043";"Bailly";"P"
"1470";"3149";"FR2210104";"60059";"Béhéricourt";"P"
"1471";"3149";"FR2210104";"60105";"Brétigny";"P"
"1472";"3149";"FR2210104";"60119";"Cambronne-lès-Ribécourt";"P"
"1473";"3149";"FR2210104";"60150";"Chiry-Ourscamp";"P"
"1474";"3149";"FR2210104";"60423";"Montmacq";"P"
"1475";"3149";"FR2210104";"60431";"Morlincourt";"P"
"1476";"3149";"FR2210104";"60471";"Noyon";"P"
"1477";"3149";"FR2210104";"60488";"Passel";"P"
"1478";"3149";"FR2210104";"60492";"Pimprez";"P"
"1479";"3149";"FR2210104";"60506";"Pont-l'Évêque";"P"
"1480";"3149";"FR2210104";"60507";"Pontoise-lès-Noyon";"P"
"1481";"3149";"FR2210104";"60537";"Ribécourt-Dreslincourt";"P"
"1482";"3149";"FR2210104";"60582";"Saint-Léger-aux-Bois";"P"
"1483";"3149";"FR2210104";"60603";"Salency";"P"
"1484";"3149";"FR2210104";"60610";"Sempigny";"P"
"1485";"3149";"FR2210104";"60636";"Thourotte";"P"
"1486";"3149";"FR2210104";"60655";"Varesnes";"P"
"1487";"3150";"FR2212001";"60043";"Bailly";"P"
"1488";"3150";"FR2212001";"60064";"Berneuil-sur-Aisne";"P"
"1489";"3150";"FR2212001";"60067";"Béthisy-Saint-Martin";"P"
"1490";"3150";"FR2212001";"60068";"Béthisy-Saint-Pierre";"P"
"1491";"3150";"FR2212001";"60118";"Caisnes";"P"
"1492";"3150";"FR2212001";"60129";"Carlepont";"P"
"1493";"3150";"FR2212001";"60150";"Chiry-Ourscamp";"P"
"1494";"3150";"FR2212001";"60151";"Choisy-au-Bac";"P"
"1495";"3150";"FR2212001";"60159";"Compiègne";"P"
"1496";"3150";"FR2212001";"60184";"Croutoy";
"1497";"3150";"FR2212001";"60188";"Cuise-la-Motte";"P"
"1498";"3150";"FR2212001";"60272";"Gilocourt";"P"
"1499";"3150";"FR2212001";"60338";"Lacroix-Saint-Ouen";"P"
"1500";"3150";"FR2212001";"60423";"Montmacq";"P"
"1501";"3150";"FR2212001";"60430";"Morienval";"P"
"1502";"3150";"FR2212001";"60438";"Moulin-sous-Touvent";"P"
"1503";"3150";"FR2212001";"60445";"Nampcel";"P"
"1504";"3150";"FR2212001";"60481";"Orrouy";"P"
"1505";"3150";"FR2212001";"60491";"Pierrefonds";"P"
"1506";"3150";"FR2212001";"60507";"Pontoise-lès-Noyon";"P"
"1507";"3150";"FR2212001";"60534";"Rethondes";"P"
"1508";"3150";"FR2212001";"60540";"Rivecourt";
"1509";"3150";"FR2212001";"60569";"Saint-Crépin-aux-Bois";"P"
"1510";"3150";"FR2212001";"60572";"Saint-Étienne-Roilaye";"P"
"1511";"3150";"FR2212001";"60579";"Saint-Jean-aux-Bois";"P"
"1512";"3150";"FR2212001";"60582";"Saint-Léger-aux-Bois";"P"
"1513";"3150";"FR2212001";"60597";"Saint-Sauveur";"P"
"1514";"3150";"FR2212001";"60641";"Tracy-le-Mont";"P"
"1515";"3150";"FR2212001";"60642";"Tracy-le-Val";"P"
"1516";"3150";"FR2212001";"60647";"Trosly-Breuil";"P"
"1517";"3150";"FR2212001";"60667";"Verberie";"P"
"1518";"3150";"FR2212001";"60674";"Vieux-Moulin";"P"
"1519";"3151";"FR2212002";"02262";"Deuillet";"P"
"1521";"3151";"FR2212002";"02318";"Folembray";"P"
"1522";"3151";"FR2212002";"02329";"Fourdrain";"P"
"1523";"3151";"FR2212002";"02335";"Fressancourt";"P"
"1524";"3151";"FR2212002";"02599";"Pierremande";"P"
"1525";"3151";"FR2212002";"02619";"Prémontré";"P"
"1526";"3151";"FR2212002";"02680";"Saint-Gobain";"P"
"1527";"3151";"FR2212002";"02685";"Saint-Nicolas-aux-Bois";"P"
"1528";"3151";"FR2212002";"02707";"Septvaux";"P"
"1529";"3151";"FR2212002";"02716";"Servais";"P"
"1530";"3151";"FR2212002";"02719";"Sinceny";"P"
"1532";"3151";"FR2212002";"02786";"Verneuil-sous-Coucy";"P"
"1533";"3151";"FR2212002";"02788";"Versigny";"P"
"1534";"3151";"FR2212002";"02834";"Wissignicourt";"P"
"1547";"3153";"FR2212004";"02197";"Clairfontaine";
"1548";"3153";"FR2212004";"02381";"Hirson";"P"
"1549";"3153";"FR2212004";"02495";"Mondrepuis";"P"
