"PK_DESIGC";"FPK_NATURA";"SITECODE";"CD_MPRO";"LB_MPRO";"COVER";"PARENT_ISO"
"10339";"2181";"FR2200387";"00";"Aucune protection";"100";"FRA"
"10343";"2173";"FR2200392";"21";"Forêt domaniale";"100";"FRA"
"10354";"3147";"FR2210026";"36";"Réserve naturelle nationale";"100";"FRA"
"10355";"3148";"FR2210068";"11";"Terrain acquis par le Conservatoire du Littoral";"2";"FRA"
"10356";"3148";"FR2210068";"36";"Réserve naturelle nationale";"15";"FRA"
"10357";"3148";"FR2210068";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"100";"FRA"
"10358";"3150";"FR2212001";"23";"Réserve biologique dirigée";"1";"FRA"
"10359";"3150";"FR2212001";"27";"Réserve biologique domaniale dirigée";"1";"FRA"
"10360";"3150";"FR2212001";"21";"Forêt domaniale";"80";"FRA"
"10361";"3151";"FR2212002";"22";"Forêt non domaniale bénéficiant du régime forestier";"4";"FRA"
"10362";"3151";"FR2212002";"21";"Forêt domaniale";"70";"FRA"
"10365";"3153";"FR2212004";"22";"Forêt non domaniale bénéficiant du régime forestier";"7";"FRA"
"10366";"3153";"FR2212004";"21";"Forêt domaniale";"47";"FRA"
"10367";"3154";"FR2212005";"21";"Forêt domaniale";"30";"FRA"
"10368";"3154";"FR2212005";"22";"Forêt non domaniale bénéficiant du régime forestier";"30";"FRA"
"10369";"3154";"FR2212005";"32";"Site classé selon la loi de 1930";"70";"FRA"
"10370";"3154";"FR2212005";"80";"Parc naturel régional";"70";"FRA"
"10371";"3154";"FR2212005";"31";"Site inscrit selon la loi de 1930";"80";"FRA"
"10372";"3155";"FR2212006";"15";"Terrain acquis par un conservatoire d'espaces naturels";"1";"FRA"
"10373";"3155";"FR2212006";"36";"Réserve naturelle nationale";"5";"FRA"
"10374";"3156";"FR2212007";"36";"Réserve naturelle nationale";"1";"FRA"
"10375";"3156";"FR2212007";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"1";"FRA"
"10431";"3157";"FR2310044";"11";"Terrain acquis par le Conservatoire du Littoral";"1";"FRA"
"10432";"3157";"FR2310044";"37";"Réserve naturelle volontaire";"1";"FRA"
"10433";"3157";"FR2310044";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"1";"FRA"
"10434";"3157";"FR2310044";"36";"Réserve naturelle nationale";"20";"FRA"
"10435";"3157";"FR2310044";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"26";"FRA"
"10436";"3157";"FR2310044";"80";"Parc naturel régional";"27";"FRA"
"10437";"3157";"FR2310044";"31";"Site inscrit selon la loi de 1930";"34";"FRA"
"10442";"3159";"FR2312003";"00";"Aucune protection";"98";"FRA"
"10657";"3175";"FR2510037";"00";"Aucune protection";;"FRA"
"10658";"3175";"FR2510037";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";;"FRA"
"10659";"3175";"FR2510037";"32";"Site classé selon la loi de 1930";"1";"FRA"
"10660";"3175";"FR2510037";"52";"Réserve de chasse et de faune sauvage d'ACCA";"1";"FRA"
"10661";"3176";"FR2510046";"11";"Terrain acquis par le Conservatoire du Littoral";"1";"FRA"
"10662";"3176";"FR2510046";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"2";"FRA"
"10663";"3176";"FR2510046";"36";"Réserve naturelle nationale";"4";"FRA"
"10664";"3176";"FR2510046";"80";"Parc naturel régional";"98";"FRA"
"10665";"3177";"FR2510047";"32";"Site classé selon la loi de 1930";"1";"FRA"
"10666";"3177";"FR2510047";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"3";"FRA"
"10667";"3177";"FR2510047";"00";"Aucune protection";"97";"FRA"
"10668";"3178";"FR2510048";"11";"Terrain acquis par le Conservatoire du Littoral";;"FRA"
"10669";"3178";"FR2510048";"31";"Site inscrit selon la loi de 1930";"1";"FRA"
"10670";"3178";"FR2510048";"42";"Réserve naturelle conventionnelle";"1";"FRA"
"10671";"3178";"FR2510048";"32";"Site classé selon la loi de 1930";"35";"FRA"
"10672";"3178";"FR2510048";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"67";"FRA"
"10673";"3179";"FR2510059";"11";"Terrain acquis par le Conservatoire du Littoral";"19";"FRA"
"10674";"3179";"FR2510059";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"77";"FRA"
"10675";"3180";"FR2510099";"11";"Terrain acquis par le Conservatoire du Littoral";"1";"FRA"
"10676";"3180";"FR2510099";"32";"Site classé selon la loi de 1930";"1";"FRA"
"10677";"3180";"FR2510099";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"95";"FRA"
"10678";"3181";"FR2512001";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"1";"FRA"
"10679";"3181";"FR2512001";"00";"Aucune protection";"99";"FRA"
"10680";"3182";"FR2512002";"36";"Réserve naturelle nationale";"3";"FRA"
"10681";"3182";"FR2512002";"11";"Terrain acquis par le Conservatoire du Littoral";"5";"FRA"
"10682";"3182";"FR2512002";"32";"Site classé selon la loi de 1930";"95";"FRA"
"10683";"3183";"FR2512003";"11";"Terrain acquis par le Conservatoire du Littoral";;"FRA"
"10684";"3183";"FR2512003";"13";"Terrain acquis par un département";;"FRA"
"10685";"3183";"FR2512003";"32";"Site classé selon la loi de 1930";;"FRA"
"10686";"3184";"FR2512004";"21";"Forêt domaniale";;"FRA"
"10687";"3184";"FR2512004";"31";"Site inscrit selon la loi de 1930";;"FRA"
"10688";"3184";"FR2512004";"32";"Site classé selon la loi de 1930";;"FRA"
"10689";"3184";"FR2512004";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";;"FRA"
"10690";"3184";"FR2512004";"80";"Parc naturel régional";;"FRA"
"10861";"3193";"FR2612008";"00";"Aucune protection";;"FRA"
"10933";"3196";"FR3110038";"11";"Terrain acquis par le Conservatoire du Littoral";"8";"FRA"
"10934";"3196";"FR3110038";"36";"Réserve naturelle nationale";"10";"FRA"
"10935";"3196";"FR3110038";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"90";"FRA"
"10936";"3197";"FR3110039";"11";"Terrain acquis par le Conservatoire du Littoral";"34";"FRA"
"10937";"3197";"FR3110039";"36";"Réserve naturelle nationale";"100";"FRA"
"10938";"3198";"FR3110083";"32";"Site classé selon la loi de 1930";"100";"FRA"
"10939";"3199";"FR3110085";"80";"Parc naturel régional";"0";"FRA"
"10940";"3199";"FR3110085";"32";"Site classé selon la loi de 1930";"5";"FRA"
"10941";"3199";"FR3110085";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"14";"FRA"
"10942";"3200";"FR3112001";"13";"Terrain acquis par un département";;"FRA"
"10943";"3200";"FR3112001";"21";"Forêt domaniale";;"FRA"
"10944";"3200";"FR3112001";"22";"Forêt non domaniale bénéficiant du régime forestier";;"FRA"
"10945";"3200";"FR3112001";"80";"Parc naturel régional";"100";"FRA"
"10946";"3201";"FR3112002";"13";"Terrain acquis par un département";"100";"FRA"
