"PK_DESIGR";"FPK_NATURA";"SITECODE";"CD_MPRO";"LB_MPRO";"DES_SITE";"OVERLAP";"OVERLAP_P";"NM_SPN";"PARENT_ISO"
"6152";"3147";"FR2210026";"36";"Réserve naturelle nationale";"Marais d'Isle";"=";"100";"FR3600058";"FRA"
"6153";"3148";"FR2210068";"11";"Terrain acquis par le Conservatoire du Littoral";"ESTUAIRES PICARDS : BAIES DE SOMME ET DAUTHIE";"+";"2";;"FRA"
"6154";"3148";"FR2210068";"36";"Réserve naturelle nationale";"ESTUAIRES PICARDS : BAIES DE SOMME ET DAUTHIE";"*";"15";;"FRA"
"6155";"3148";"FR2210068";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"Réserve de chasse baie de Somme - Baie d'Authie";"=";"100";;"FRA"
"6177";"3157";"FR2310044";"31";"Site inscrit selon la loi de 1930";"Site inscrit des abords du Pont de Tancarville";"+";;;"FRA"
"6178";"3157";"FR2310044";"36";"Réserve naturelle nationale";"Estuaire de la Seine";"+";;"FR3600137";"FRA"
"6179";"3157";"FR2310044";"36";"Réserve naturelle nationale";"Mannevilles";"+";;"FR3600122";"FRA"
"6180";"3157";"FR2310044";"37";"Réserve naturelle volontaire";"réserve volontaire des Courtils de Bouquelon";"+";;;"FRA"
"6181";"3157";"FR2310044";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais de Saint Wandrille";"+";;"FR3800047";"FRA"
"6182";"3157";"FR2310044";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais des litières de Quillebeuf";"+";;"FR3800318";"FRA"
"6183";"3157";"FR2310044";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"Réserve de chasse du banc herbeux";"+";;;"FRA"
"6184";"3157";"FR2310044";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"Réserve de chasse maritime de l'estuaire de Seine";"*";"80";;"FRA"
"6185";"3157";"FR2310044";"80";"Parc naturel régional";"Parc Naturel Régional de Brotonne";"*";;;"FRA"
"6280";"3176";"FR2510046";"11";"Terrain acquis par le Conservatoire du Littoral";"Polders de Brévands, de Ste-Marie-du-Mont et d'Utah-Beach";"+";"1";;"FRA"
"6281";"3176";"FR2510046";"36";"Réserve naturelle nationale";"Marais de la Sangsurière et de l'Adriennerie";;"5";"FR3600102";"FRA"
"6282";"3176";"FR2510046";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Niveau d'eau du Gorget";"+";"1";;"FRA"
"6283";"3176";"FR2510046";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Réserve Naturelle du domaine de Beauguillot";"+";"4";;"FRA"
"6284";"3176";"FR2510046";"69";"Réserve Biogénétique du Conseil de l'Europe";"BASSES VALLEES DU COTENTIN ET BAIE DES VEYS";"*";"2";;"INT"
"6285";"3176";"FR2510046";"72";"Zone humide protégée par la convention de Ramsar";"Marais du Cotentin et du Bessin, Baie des Veys";"-";"95";"FR7200001";"INT"
"6286";"3176";"FR2510046";"80";"Parc naturel régional";"Marais du Cotentin et du Bessin";"-";"98";"FR8000021";"FRA"
"6287";"3178";"FR2510048";"11";"Terrain acquis par le Conservatoire du Littoral";"BAIE DU MONT SAINT MICHEL";"+";"0";;"FRA"
"6288";"3178";"FR2510048";"71";"Zone de la Convention du Patrimoine Mondial (UNESCO)";"BAIE DU MONT SAINT MICHEL";;;;"INT"
"6289";"3178";"FR2510048";"72";"Zone humide protégée par la convention de Ramsar";"Baie du Mont Saint Michel";"*";"89";"FR7200009";"INT"
"6290";"3179";"FR2510059";"11";"Terrain acquis par le Conservatoire du Littoral";"ESTUAIRE DE L'ORNE";"+";"19";"FR1100043";"FRA"
"6291";"3180";"FR2510099";"11";"Terrain acquis par le Conservatoire du Littoral";"FALAISE DU BESSIN OCCIDENTAL";"*";"1";;"FRA"
"6292";"3182";"FR2512002";"36";"Réserve naturelle nationale";"Mare de Vauville";;"3";"FR3600030";"FRA"
"6507";"3196";"FR3110038";"11";"Terrain acquis par le Conservatoire du Littoral";"ESTUAIRE DE LA CANCHE";"+";"8";;"FRA"
"6508";"3196";"FR3110038";"36";"Réserve naturelle nationale";"ESTUAIRE DE LA CANCHE";"+";"10";;"FRA"
"6509";"3197";"FR3110039";"11";"Terrain acquis par le Conservatoire du Littoral";"LE PLATIER D'OYE";"*";"34";"FR1100139";"FRA"
"6510";"3197";"FR3110039";"36";"Réserve naturelle nationale";"Platier d'Oye";"=";"100";"FR3600086";"FRA"
"6511";"3199";"FR3110085";"80";"Parc naturel régional";"CAP GRIS NEZ";"/";"0";;"FRA"
"6519";"1873";"FR4100157";"21";"Forêt domaniale";"Forêt Domaniale de Keu";"+";"1";;"FRA"
"6551";"1844";"FR4100175";"80";"Parc naturel régional";"Ballons des Vosges";;"100";"FR8000006";"FRA"
"6552";"1845";"FR4100177";"22";"Forêt non domaniale bénéficiant du régime forestier";"de Fécocourt";"*";;;"FRA"
"6553";"1845";"FR4100177";"22";"Forêt non domaniale bénéficiant du régime forestier";"de Vandéléville";"*";;;"FRA"
"6554";"1845";"FR4100177";"31";"Site inscrit selon la loi de 1930";"Site de Vandéléville";"*";"1";;"FRA"
"6582";"1892";"FR4100193";"21";"Forêt domaniale";"FD d'Abreschwiller et de Walscheid";"-";"100";;"FRA"
