"PK_DHFF_ESPECE";"CODE_N2000";"CD_NOM";"CD_REF";"ST_TAXON";"NOM_EVAL_2013";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"NIV_TAX";"PRIORITAIRE";"ANNEXE_II";"ANNEXE_IV";"ANNEXE_V";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE";"NOM_DIRECTIVE"
2,00;"1007";"163461";"163461";"NV";"Elona quimperiana";"Elona quimperiana";"(Blainville, 1821)";"l'Escargot de Quimper";"Invertébrés";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Elona quimperiana"
5,00;"1014";"64140";"64140";"NV";"Vertigo angustior";"Vertigo angustior";"Jeffreys, 1830";"Vertigo étroit";"Invertébrés";"false";"Y";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Vertigo angustior"
6,00;"1016";"64141";"64141";"NV";"Vertigo moulinsiana";"Vertigo moulinsiana";"(Dupuy, 1849)";"Vertigo de Des Moulins";"Invertébrés";"false";"Y";"N";"N";;1,00;1,00;;;;"true";"false";;"Vertigo moulinsiana"
10,00;"1029";"64435";"64435";"NV";"Margaritifera margaritifera";"Margaritifera margaritifera";"(Linnaeus, 1758)";"Mulette perlière";"Invertébrés";"false";"Y";"N";"Y";;1,00;1,00;;;;"true";"false";;"Margaritifera margaritifera"
12,00;"1032";"64443";"64443";"NV";"Unio crassus";"Unio crassus";"Philipsson, 1788";"Mulette épaisse";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;1,00;;;"true";"false";;"Unio crassus"
15,00;"1036";"65384";"65384";"NV";"Macromia splendens";"Macromia splendens";"(Pictet, 1834)";"Cordulie splendide";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;1,00;;;"true";"false";;"Macromia splendens"
16,00;"1037";"65243";"65243";"NV";"Ophiogomphus cecilia";"Ophiogomphus cecilia";"(Fourcroy, 1785)";"Gomphe serpentin";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";"ATL.: Change from N to 1 suggested";"Ophiogomphus cecilia"
19,00;"1041";"65381";"65381";"NV";"Oxygastra curtisii";"Oxygastra curtisii";"(Dale, 1834)";"Cordulie à corps fin";"Invertébrés";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Oxygastra curtisii"
20,00;"1042";"65356";"65356";"NV";"Leucorrhinia pectoralis";"Leucorrhinia pectoralis";"(Charpentier, 1825)";"Leucorrhine à gros thorax";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Leucorrhinia pectoralis"
21,00;"1044";"65133";"65133";"NV";"Coenagrion mercuriale";"Coenagrion mercuriale";"(Charpentier, 1840)";"Agrion de Mercure";"Invertébrés";"false";"Y";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Coenagrion mercuriale"
22,00;"1046";"65231";"65231";"NV";"Gomphus graslinii";"Gomphus graslinii";"Rambur, 1842";"Gomphe de Graslin";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;1,00;;;"true";"false";;"Gomphus graslinii"
27,00;"1055";"608254";"608254";"NV";"Papilio hospiton";"Papilio hospiton";"Gené, 1839";"le Porte-Queue de Corse";"Invertébrés";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Papilio hospiton"
32,00;"1060";"53979";"53979";"NV";"Lycaena dispar";"Lycaena dispar";"(Haworth, 1802)";"Cuivré des marais";"Invertébrés";"false";"Y";"Y";"N";1,00;1,00;1,00;;;;"true";"false";;"Lycaena dispar"
35,00;"1065";"53865";"53865";"NV";"Euphydryas aurinia";"Euphydryas aurinia";"(Rottemburg, 1775)";"Damier de la Succise";"Invertébrés";"false";"Y";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Euphydryas (Eurodryas, Hypodryas) aurinia"
39,00;"1071";"53621";"53621";"NV";"Coenonympha oedippus";"Coenonympha oedippus";"(Fabricius, 1787)";"Fadet des Laiches";"Invertébrés";"false";"Y";"Y";"N";1,00;1,00;1,00;;;;"true";"false";;"Coenonympha oedippus"
40,00;"1074";"54762";"54762";"NV";"Eriogaster catax";"Eriogaster catax";"(Linnaeus, 1758)";"Laineuse du Prunellier";"Invertébrés";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Eriogaster catax"
45,00;"1079";"159441";"159441";"NV";"Limoniscus violaceus";"Limoniscus violaceus";"(P. W. J. Müller, 1821)";"Taupin violacé";"Invertébrés";"false";"Y";"N";"N";;1,00;1,00;1,00;;;"true";"false";;"Limoniscus violaceus"
46,00;"1082";"9562";"9562";"NV";"Graphoderus bilineatus";"Graphoderus bilineatus";"(de Geer, 1774)";"Graphodère à deux lignes";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Graphoderus bilineatus"
47,00;"1083";"10502";"10502";"NV";"Lucanus cervus";"Lucanus cervus";"(Linnaeus, 1758)";"Lucane cerf-volant";"Invertébrés";"false";"Y";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Lucanus cervus"
48,00;"1084";"10979";"10979";"NV";"Osmoderma eremita";"Osmoderma eremita";"(Scopoli, 1763)";"Pique-prune";"Invertébrés";"true";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Osmoderma eremita"
49,00;"1087";"12348";"12348";"NV";"Rosalia alpina";"Rosalia alpina";"(Linnaeus, 1758)";"Rosalie des Alpes";"Invertébrés";"true";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Rosalia alpina"
50,00;"1088";"12336";"12336";"NV";"Cerambyx cerdo";"Cerambyx cerdo";"Linnaeus, 1758";"Grand Capricorne";"Invertébrés";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Cerambyx cerdo"
53,00;"1092";"18437";"18437";"NV";"Austropotamobius pallipes";"Austropotamobius pallipes";"(Lereboullet, 1858)";"Ecrevisse à pattes blanches";"Invertébrés";"false";"Y";"N";"Y";1,00;1,00;1,00;1,00;;;"true";"false";;"Austropotamobius pallipes"
54,00;"1093";"159447";"159447";"NV";"Austropotamobius torrentium";"Austropotamobius torrentium";"(Schrank, 1803)";"Ecrevisse des torrents";"Invertébrés";"true";"Y";"N";"Y";1,00;;1,00;;;;"true";"false";"Annexe II prioritaire suite à l'élargissement de l'UE";"Austropotamobius torrentium"
55,00;"1095";"66315";"66315";"NV";"Petromyzon marinus";"Petromyzon marinus";"Linnaeus, 1758";"Lamproie marine";"Poissons";"false";"Y";"N";"N";;1,00;1,00;1,00;;;"true";"false";;"Petromyzon marinus"
56,00;"1096";"66333";"66333";"NV";"Lampetra planeri";"Lampetra planeri";"(Bloch, 1784)";"Lamproie de Planer";"Poissons";"false";"Y";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Lampetra planeri"
57,00;"1099";"66330";"66330";"NV";"Lampetra fluviatilis";"Lampetra fluviatilis";"(Linnaeus, 1758)";"Lamproie de rivière";"Poissons";"false";"Y";"N";"Y";;1,00;1,00;1,00;;;"true";"false";;"Lampetra fluviatilis"
58,00;"1101";"66775";"66775";"NV";"Acipenser sturio";"Acipenser sturio";"Linnaeus, 1758";"Esturgeon européen";"Poissons";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Acipenser sturio"
59,00;"1102";"66967";"66967";"NV";"Alosa alosa";"Alosa alosa";"(Linnaeus, 1758)";"Grande alose";"Poissons";"false";"Y-HTL";"N";"Y-HTL";;1,00;1,00;;;;"true";"false";"Pourquoi enlevée de MED?";"Alosa spp."
60,00;"1103";"66996";"66996";"NV";"Alosa fallax";"Alosa fallax";"(Lacepède, 1803)";"Alose feinte";"Poissons";"false";"Y-HTL";"N";"Y-HTL";;1,00;6,00;1,00;;;"true";"false";"MAR-CON. Change from N to MAR suggested. Pas marin!";"Alosa spp."
61,00;"1106";"67765";"67765";"NV";"Salmo salar";"Salmo salar";"Linnaeus, 1758";"Saumon atlantique";"Poissons";"false";"Y";"N";"Y";1,00;1,00;1,00;;;;"true";"false";;"Salmo salar"
62,00;"5349";"200257";"200257";"NV";"Salmo cettii";"Salmo cettii";"Rafinesque, 1810";"Truite à grosses taches";"Poissons";"false";"Y-CTC";"N";"N";;;;1,00;;;"true";"false";"SR TAX - MED, demande CTE/DB : nom EVAL 2013 = Salmo cettii (cf. http://www.fishbase.org/summary/Salmo-cettii.html)";"Salmo macrostigma"
65,00;"1130";"67131";"67131";"NV";"Aspius aspius";"Aspius aspius";"(Linnaeus, 1758)";"Aspe";"Poissons";"false";"Y";"N";"Y";;;5,00;;;;"true";"false";"INTRO-CON";"Aspius aspius"
68,00;"1138";"67179";"67179";"NV";"Barbus meridionalis";"Barbus meridionalis";"Risso, 1827";"Barbeau méridional";"Poissons";"false";"Y";"N";"Y";1,00;1,00;1,00;1,00;;;"true";"false";;"Barbus meridionalis"
69,00;"1145";"67534";"67534";"NV";"Misgurnus fossilis";"Misgurnus fossilis";"(Linnaeus, 1758)";"Loche d'étang";"Poissons";"false";"Y";"N";"N";;1,00;1,00;;;;"true";"false";;"Misgurnus fossilis"
70,00;"1149";"67506";"67506";"NV";"Cobitis taenia";"Cobitis taenia";"Linnaeus, 1758";"Loche de rivière";"Poissons";"false";"Y";"N";"N";;1,00;1,00;;;;"true";"false";"SR TAX: ATL, CON";"Cobitis taenia"
71,00;"1152";"68802";"68802";"NV";"Aphanius fasciatus";"Aphanius fasciatus";"(Valenciennes, 1821)";"Aphanius de Corse";"Poissons";"false";"Y";"N";"N";;;;1,00;;;"true";"false";;"Aphanius fasciatus"
72,00;"1158";"69378";"69378";"NV";"Zingel asper";"Zingel asper";"(Linnaeus, 1758)";"l’Apron du Rhône";"Poissons";"false";"Y";"Y";"N";;;1,00;1,00;;;"true";"false";;"Zingel asper"
73,00;"1162";"159453";"159453";"NV";"Cottus petiti";"Cottus petiti";"Bacescu & Bacescu-Mester, 1964";"Chabot du Lez";"Poissons";"false";"Y";"N";"N";;;;1,00;;;"true";"false";;"Cottus petiti"
74,00;"1163";"69182";"69182";"NV";"Cottus gobio";"Cottus gobio";"Linnaeus, 1758";"Chabot";"Poissons";"false";"Y";"N";"N";15,00;15,00;15,00;15,00;;;"true";"false";"SR TAX: ALP, ATL,CON,MED";"Cottus gobio"
76,00;"1166";"139";"139";"NV";"Triturus cristatus";"Triturus cristatus";"(Laurenti, 1768)";"Triton crêté";"Amphibiens";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Triturus cristatus (Triturus cristatus cristatus)"
81,00;"1190";"229";"229";"NV";"Discoglossus sardus";"Discoglossus sardus";"Tschudi, 1837";"Discoglosse sarde";"Amphibiens";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Discoglossus sardus"
83,00;"1193";"212";"212";"NV";"Bombina variegata";"Bombina variegata";"(Linnaeus, 1758)";"Sonneur à ventre jaune";"Amphibiens";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Bombina variegata"
84,00;"1196";"223";"223";"NV";"Discoglossus montalentii";"Discoglossus montalentii";"Lanza, Nascetti, Capula & Bullini, 1984";"Discoglosse corse";"Amphibiens";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Discoglossus montalentii"
99,00;"1217";"77433";"77433";"NV";"Testudo hermanni";"Testudo hermanni";"Gmelin, 1789";"Tortue d’Hermann";"Reptiles";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Testudo hermanni"
100,00;"1220";"77381";"77381";"NV";"Emys orbicularis";"Emys orbicularis";"(Linnaeus, 1758)";"Cistude d’Europe";"Reptiles";"false";"Y";"Y";"N";;1,00;1,00;1,00;;;"true";"false";;"Emys orbicularis"
101,00;"1221";"77412";"77412";"NV";"Mauremys leprosa";"Mauremys leprosa";"(Schweigger, 1812)";"Émyde lépreuse";"Reptiles";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Mauremys leprosa"
103,00;"1224";"77330";"77330";"NV";"Caretta caretta";"Caretta caretta";"(Linnaeus, 1758)";"Tortue Caouanne";"Reptiles";"true";"Y";"Y";"N";;;;;1,00;1,00;"false";"true";;"Caretta caretta"
117,00;"1298";"78164";"78164";"NV";"Vipera ursinii";"Vipera ursinii";"(Bonaparte, 1835)";"Vipère d’Orsini";"Reptiles";"false";"Y";"Y";"N";1,00;;;1,00;;;"true";"false";"Vipera ursinii (except Vipera ursinii rakosiensis)";"Vipera ursinii (except Vipera ursinii rakosiensis)"
118,00;"1301";"60243";"60243";"NV";"Galemys pyrenaicus";"Galemys pyrenaicus";"(E. Geoffroy, 1811)";"Desman des Pyrénées";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;;1,00;;;"true";"false";;"Galemys pyrenaicus"
120,00;"1303";"60313";"60313";"NV";"Rhinolophus hipposideros";"Rhinolophus hipposideros";"(Bechstein, 1800)";"Petit rhinolophe";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Rhinolophus hipposideros"
121,00;"1304";"60295";"60295";"NV";"Rhinolophus ferrumequinum";"Rhinolophus ferrumequinum";"(Schreber, 1774)";"Grand rhinolophe";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Rhinolophus ferrumequinum"
122,00;"1305";"60330";"60330";"NV";"Rhinolophus euryale";"Rhinolophus euryale";"Blasius, 1853";"Rhinolophe euryale";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Rhinolophus euryale"
123,00;"1307";"60427";"60427";"NV";"Myotis blythii";"Myotis blythii";"(Tomes, 1857)";"Petit Murin";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Myotis blythii"
