"PK_DHFF_HABITAT";"CD_UE";"LB_NIVEAU1";"LB_NIVEAU2";"FRANCE";"LB_HABDH_FR";"HDNAME";"PRIORITAIRE";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE"
1,00;"1110";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Bancs de sable à faible couverture permanente d'eau marine";"Sandbanks which are slightly covered by sea water all the time";"false";;;;;1,00;1,00;"false";"true";
2,00;"1120";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Herbiers de posidonies (Posidonion oceanicae)";"Posidonia beds (Posidonion oceanicae)";"true";;;;;;1,00;"false";"true";
3,00;"1130";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Estuaires";"Estuaries";"false";;;;;1,00;1,00;"false";"true";
4,00;"1140";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Replats boueux ou sableux exondés à marée basse";"Mudflats and sandflats not covered by seawater at low tide";"false";;;;;1,00;1,00;"false";"true";
5,00;"1150";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Lagunes côtières";"Coastal lagoons";"true";;1,00;;1,00;;;"true";"false";
6,00;"1160";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Grandes criques et baies peu profondes";"Large shallow inlets and bays";"false";;;;;1,00;1,00;"false";"true";
7,00;"1170";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Récifs";"Reefs";"false";;;;;1,00;1,00;"false";"true";
8,00;"1210";"Habitats côtiers et végétations halophytiques";"Falaises maritimes et plages de galets";"true";"Végétation annuelle des laissés de mer";"Annual vegetation of drift lines";"false";;1,00;;1,00;;;"true";"false";
9,00;"1220";"Habitats côtiers et végétations halophytiques";"Falaises maritimes et plages de galets";"true";"Végétation vivace des rivages de galets";"Perennial vegetation of stony banks";"false";;1,00;;;;;"true";"false";
10,00;"1230";"Habitats côtiers et végétations halophytiques";"Falaises maritimes et plages de galets";"true";"Falaises avec végétation des côtes atlantiques et baltiques";"Vegetated sea cliffs of the Atlantic and Baltic Coasts";"false";;1,00;;;;;"true";"false";
11,00;"1240";"Habitats côtiers et végétations halophytiques";"Falaises maritimes et plages de galets";"true";"Falaises avec végétation des côtes méditerranéennes avec Limonium spp. endémiques";"Vegetated sea cliffs of the Mediterranean coasts with endemic Limonium spp.";"false";;;;1,00;;;"true";"false";
12,00;"1310";"Habitats côtiers et végétations halophytiques";"Marais et prés salés atlantiques et continentaux";"true";"Végétations pionnières à Salicornia et autres espèces annuelles des zones boueuses et sableuses";"Salicornia and other annuals colonizing mud and sand";"false";;1,00;1,00;1,00;;;"true";"false";
13,00;"1320";"Habitats côtiers et végétations halophytiques";"Marais et prés salés atlantiques et continentaux";"true";"Prés à Spartina (Spartinion maritimae)";"Spartina swards (Spartinion maritimae)";"false";;1,00;;;;;"true";"false";
14,00;"1330";"Habitats côtiers et végétations halophytiques";"Marais et prés salés atlantiques et continentaux";"true";"Prés-salés atlantiques (Glauco-Puccinellietalia maritimae)";"Atlantic salt meadows (Glauco-Puccinellietalia maritimae)";"false";;1,00;;;;;"true";"false";
15,00;"1340";"Habitats côtiers et végétations halophytiques";"Marais et prés salés atlantiques et continentaux";"true";"Prés-salés intérieurs";"Inland salt meadows";"true";1,00;;1,00;;;;"true";"false";
16,00;"1410";"Habitats côtiers et végétations halophytiques";"Marais et prés salés méditerranéens et thermo-atla";"true";"Prés-salés méditerranéens (Juncetalia maritimi)";"Mediterranean salt meadows (Juncetalia maritimi)";"false";;1,00;;1,00;;;"true";"false";
17,00;"1420";"Habitats côtiers et végétations halophytiques";"Marais et prés salés méditerranéens et thermo-atla";"true";"Fourrés halophiles méditerranéens et thermo-atlantiques (Sarcocornietea fruticosi)";"Mediterranean and thermo-Atlantic halophilous scrubs (Sarcocornetea fruticosi)";"false";;1,00;;1,00;;;"true";"false";
18,00;"1430";"Habitats côtiers et végétations halophytiques";"Marais et prés salés méditerranéens et thermo-atla";"true";"Fourrés halonitrophiles (Pegano-Salsoletea)";"Halo-nitrophilous scrubs (Pegano-Salsoletea)";"false";;1,00;;1,00;;;"true";"false";
19,00;"1510";"Habitats côtiers et végétations halophytiques";"Steppes intérieures halophiles et gypsophiles";"true";"Steppes salées méditerranéennes (Limonietalia)";"Mediterranean salt steppes (Limonietalia)";"true";;;;1,00;;;"true";"false";
20,00;"2110";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes mobiles embryonnaires";"Embryonic shifting dunes";"false";;1,00;;1,00;;;"true";"false";
21,00;"2120";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes mobiles du cordon littoral à Ammophila arenaria (dunes blanches)";"Shifting dunes along the shoreline with Ammophila arenaria (""white dunes"")";"false";;1,00;;1,00;;;"true";"false";
22,00;"2130";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes côtières fixées à végétation herbacée (dunes grises)";"Fixed coastal dunes with herbaceous vegetation (""grey dunes"")";"true";;1,00;;;;;"true";"false";
23,00;"2150";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes fixées décalcifiées atlantiques (Calluno-Ulicetea)";"Atlantic decalcified fixed dunes (Calluno-Ulicetea)";"true";;1,00;;;;;"true";"false";
24,00;"2160";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes à Hippophaë rhamnoides";"Dunes with Hippophaë rhamnoides";"false";;1,00;;;;;"true";"false";
25,00;"2170";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes à Salix repens spp. argentea (Salicion arenariae)";"Dunes with Salix repens ssp. argentea (Salicion arenariae)";"false";;1,00;;;;;"true";"false";
26,00;"2180";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dunes boisées des régions atlantique, continentale et boréale";"Wooded dunes of the Atlantic, Continental and Boreal region";"false";;1,00;;;;;"true";"false";
27,00;"2190";"Dunes maritimes et intérieures";"Dunes maritimes des rivages atlantiques, de la mer";"true";"Dépressions humides intradunaires";"Humid dune slacks";"false";;1,00;;1,00;;;"true";"false";
28,00;"2210";"Dunes maritimes et intérieures";"Dunes maritimes des rivages méditerranéens";"true";"Dunes fixées du littoral du Crucianellion maritimae";"Crucianellion maritimae fixed beach dunes";"false";;;;1,00;;;"true";"false";
29,00;"2230";"Dunes maritimes et intérieures";"Dunes maritimes des rivages méditerranéens";"true";"Dunes avec pelouses des Malcolmietalia";"Malcolmietalia dune grasslands";"false";;;;1,00;;;"true";"false";
30,00;"2240";"Dunes maritimes et intérieures";"Dunes maritimes des rivages méditerranéens";"true";"Dunes avec pelouses des Brachypodietalia et des plantes annuelles";"Brachypodietalia dune grasslands with annuals";"false";;;;1,00;;;"true";"false";
