"PK_DHFF_OISEAUX";"CODE_N2000";"CD_NOM";"CD_REF";"NOM_N2000";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"ANNEXE_I";"ANNEXE_II_A";"ANNEXE_II_B";"ANNEXE_III_A";"ANNEXE_III_B";"COMMENTAIRE"
1,00;"A001";"2411";"2411";"Gavia stellata";;;"Plongeon catmarin";"Y";"N";"N";"N";"N";
2,00;"A002";"956";"956";"Gavia arctica";;;"Plongeon arctique";"Y";"N";"N";"N";"N";
3,00;"A003";"959";"959";"Gavia immer";;;"Plongeon imbrin";"Y";"N";"N";"N";"N";
4,00;"A004";"977";"977";"Tachybaptus ruficollis";;;"Grèbe castagneux";"N";"N";"N";"N";"N";
5,00;"A005";"965";"965";"Podiceps cristatus";;;"Grèbe huppé";"N";"N";"N";"N";"N";
6,00;"A006";"968";"968";"Podiceps grisegena";;;"Grèbe jougris";"N";"N";"N";"N";"N";
7,00;"A007";"971";"971";"Podiceps auritus";;;"Grèbe esclavon";"Y";"N";"N";"N";"N";
8,00;"A008";"974";"974";"Podiceps nigricollis";;;"Grèbe à cou noir";"N";"N";"N";"N";"N";
9,00;"A009";"998";"998";"Fulmarus glacialis";;;"Pétrel fulmar, Fulmar boréal";"N";"N";"N";"N";"N";
10,00;"A010";"1009";"1009";"Calonectris diomedea";;;"Puffin cendré";"Y";"N";"N";"N";"N";
11,00;"A011";"1017";"790987";"Puffinus gravis";;;"Puffin majeur";"N";"N";"N";"N";"N";
12,00;"A012";"1024";"683212";"Puffinus griseus";;;"Puffin fuligineux";"N";"N";"N";"N";"N";
13,00;"A013";"1027";"1027";"Puffinus puffinus";;;"Puffin des Anglais";"N";"N";"N";"N";"N";
14,00;"A014";"2419";"2419";"Hydrobates pelagicus";;;"Pétrel tempête, Océanite tempête";"Y";"N";"N";"N";"N";
15,00;"A015";"2423";"790986";"Oceanodroma leucorhoa";;;"Pétrel cul-blanc, Océanite cul-blanc";"Y";"N";"N";"N";"N";
16,00;"A016";"2434";"2437";"Morus bassanus";;;"Fou de Bassan";"N";"N";"N";"N";"N";
17,00;"A017";"2440";"2440";"Phalacrocorax carbo";;;"Grand Cormoran";"N";"N";"N";"N";"N";
18,00;"A018";"2447";"2447";"Phalacrocorax aristotelis";;;"Cormoran huppé";"N";"N";"N";"N";"N";
21,00;"A021";"2473";"2473";"Botaurus stellaris";;;"Butor étoilé";"Y";"N";"N";"N";"N";
22,00;"A022";"2477";"2477";"Ixobrychus minutus";;;"Butor blongios, Blongios nain";"Y";"N";"N";"N";"N";
23,00;"A023";"2481";"2481";"Nycticorax nycticorax";;;"Héron bihoreau, Bihoreau gris";"Y";"N";"N";"N";"N";
24,00;"A024";"2486";"2486";"Ardeola ralloides";;;"Héron crabier, Crabier chevelu";"Y";"N";"N";"N";"N";
25,00;"A025";"2489";"2489";"Bubulcus ibis";;;"Héron garde-boeufs";"N";"N";"N";"N";"N";
26,00;"A026";"2497";"2497";"Egretta garzetta";;;"Aigrette garzette";"Y";"N";"N";"N";"N";
27,00;"A027";"2500";"2504";"Egretta alba";;;"Grande Aigrette";"Y";"N";"N";"N";"N";
28,00;"A028";"2506";"2506";"Ardea cinerea";;;"Héron cendré";"N";"N";"N";"N";"N";
