"PK_HABIT1";"FPK_NATURA";"SITECODE";"CD_UE";"LB_HABDH_FR";"COVER";"REPRESENT";"REL_SURF";"CONSERVE";"GLOBAL";"CAVES";"QUALITY";"AREA";"PF";"CONSERVE_TENDANCE";"CONSERVE_CRITERE_AUTRE";"CONSERVE_CRITERE_STRUCT_FONCT";"CONSERVE_CRITERE_SURFACE";"CONSERVE_METHODE";"INVENTAIRE_ANNEE_MIN";"INVENTAIRE_ANNEE";"INVENTAIRE_AUTEUR";"CD_HAB";"CONSERVE_METHODE_COMMENTAIRE"
"2052";"1776";"FR4201810";"91E0";"Forêts alluviales à Alnus glutinosa et Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)";"6";"B";"C";"B";"B";;;"69,3";"true";;;;;;"";"";;"2794";
"2053";"1776";"FR4201810";"6430";"Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin";"2";"C";"C";"B";"B";;;"23,1";"false";;;;;;"";"";;"2835";
"2054";"1776";"FR4201810";"6510";"Prairies maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis)";"20";"B";"C";"B";"B";;;"231";"false";;;;;;"";"";;"2839";
"2055";"1776";"FR4201810";"6210";"Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables)";"1";"C";"C";"B";"B";;;"11,55";"false";;;;;;"";"";;"2842";
"2056";"1776";"FR4201810";"91F0";"Forêts mixtes à Quercus robur, Ulmus laevis, Ulmus minor, Fraxinus excelsior ou Fraxinus angustifolia, riveraines des grands fleuves (Ulmenion minoris)";"4";"B";"C";"B";"C";;;"46,2";"false";;;;;;"";"";;"2795";
"2057";"1776";"FR4201810";"9160";"Chênaies pédonculées ou chênaies-charmaies subatlantiques et médio-européennes du Carpinion betuli";"4";"B";"C";"B";"B";;;"46,2";"false";;;;;;"";"";;"2817";
"2058";"1776";"FR4201810";"3260";"Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion";"1";"D";;;;;;"11,55";"false";;;;;;"";"";;"2767";
"2059";"1776";"FR4201810";"3150";"Lacs eutrophes naturels avec végétation du Magnopotamion ou de l'Hydrocharition";"2";"C";"C";"B";"B";;;"23,1";"false";;;;;;"";"";;"2758";
"2111";"1781";"FR4201801";"9170";"Chênaies-charmaies du Galio-Carpinetum";"1";"D";;;;;;"31,51";"false";;;;;;"";"";;"2818";
"2112";"1781";"FR4201801";"6210";"Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables)";"2";"B";"C";"B";"B";;;"63,02";"false";;;;;;"";"";;"2842";
"2113";"1781";"FR4201801";"6510";"Prairies maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis)";"2";"B";"C";"B";"B";;;"63,02";"false";;;;;;"";"";;"2839";
"2114";"1781";"FR4201801";"6520";"Prairies de fauche de montagne";"2";"C";"C";"B";"B";;;"63,02";"false";;;;;;"";"";;"2840";
"2115";"1781";"FR4201801";"9110";"Hêtraies du Luzulo-Fagetum";"21";"A";"C";"A";"A";;;"661,71";"false";;;;;;"";"";;"2813";
"2116";"1781";"FR4201801";"91E0";"Forêts alluviales à Alnus glutinosa et Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)";"1";"C";"C";"B";"A";;;"31,51";"true";;;;;;"";"";;"2794";
"2117";"1781";"FR4201801";"7110";"Tourbières hautes actives";"1";"C";"C";"B";"B";;;"31,51";"true";;;;;;"";"";;"2821";
"2118";"1781";"FR4201801";"9130";"Hêtraies de l'Asperulo-Fagetum";"6";"B";"C";"A";"A";;;"189,06";"false";;;;;;"";"";;"2814";
"2119";"1781";"FR4201801";"91D0";"Tourbières boisées";"1";"C";"C";"B";"B";;;"31,51";"true";;;;;;"";"";;"2754";
"2120";"1781";"FR4201801";"4030";"Landes sèches européennes";"2";"B";"C";"B";"B";;;"63,02";"false";;;;;;"";"";;"2872";
"2121";"1781";"FR4201801";"8220";"Pentes rocheuses siliceuses avec végétation chasmophytique";"1";"D";;;;;;"31,51";"false";;;;;;"";"";;"2787";
"2122";"1781";"FR4201801";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"2";"C";"B";"B";"B";;;"63,02";"false";;;;;;"";"";;"2843";
"2123";"1781";"FR4201801";"3260";"Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion";"1";"D";;;;;;"31,51";"false";;;;;;"";"";;"2767";
"2124";"1781";"FR4201801";"7120";"Tourbières hautes dégradées encore susceptibles de régénération naturelle";"1";"D";;;;;;"31,51";"false";;;;;;"";"";;"2826";
"2125";"1781";"FR4201801";"9180";"Forêts de pentes, éboulis ou ravins du Tilio-Acerion";"1";"C";"C";"B";"B";;;"31,51";"true";;;;;;"";"";;"2819";
"2126";"1781";"FR4201801";"9160";"Chênaies pédonculées ou chênaies-charmaies subatlantiques et médio-européennes du Carpinion betuli";"27";"B";"B";"B";"B";;;"850,77";"false";;;;;;"";"";;"2817";
"2127";"1782";"FR4201802";"6230";"Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)";"70";"A";"C";"B";"B";;;"118,3";"true";;;;;;"";"";;"2797";
"2128";"1782";"FR4201802";"6430";"Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin";"2";"C";"C";"B";"B";;;"3,38";"false";;;;;;"";"";;"2835";
"2129";"1782";"FR4201802";"6520";"Prairies de fauche de montagne";"6";"B";"C";"A";"B";;;"10,14";"false";;;;;;"";"";;"2840";
"2130";"1782";"FR4201802";"7110";"Tourbières hautes actives";"5";"B";"C";"B";"B";;;"8,45";"true";;;;;;"";"";;"2821";
"2131";"1782";"FR4201802";"7120";"Tourbières hautes dégradées encore susceptibles de régénération naturelle";"0";"D";;;;;;"0";"false";;;;;;"";"";;"2826";
"2132";"1782";"FR4201802";"7140";"Tourbières de transition et tremblantes";"5";"B";"C";"A";"A";;;"8,45";"false";;;;;;"";"";;"2823";
"2133";"1782";"FR4201802";"9110";"Hêtraies du Luzulo-Fagetum";"5";"C";"C";"B";"B";;;"8,45";"false";;;;;;"";"";;"2813";
"2134";"1782";"FR4201802";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"2";"B";"C";"A";"A";;;"3,38";"false";;;;;;"";"";;"2825";
"2135";"1782";"FR4201802";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"1";"D";;;;;;"1,69";"false";;;;;;"";"";;"2843";
"2136";"1782";"FR4201802";"9140";"Hêtraies subalpines médio-européennes à Acer et Rumex arifolius";"1";"D";;;;;;"1,69";"false";;;;;;"";"";;"2816";
"2137";"1782";"FR4201802";"91D0";"Tourbières boisées";"1";"D";;;;;;"1,69";"true";;;;;;"";"";;"2754";
"2138";"1782";"FR4201802";"9130";"Hêtraies de l'Asperulo-Fagetum";"1";"D";;;;;;"1,69";"false";;;;;;"";"";;"2814";
"2254";"1794";"FR4202003";"6510";"Prairies maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis)";"20";"A";"C";"A";"A";;;"103,4";"false";;;;;;"";"";;"2839";
"2255";"1794";"FR4202003";"6430";"Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin";"3";"C";"C";"A";"A";;;"15,51";"false";;;;;;"";"";;"2835";
"2256";"1794";"FR4202003";"6410";"Prairies à Molinia sur sols calcaires, tourbeux ou argilo-limoneux (Molinion caeruleae)";"1";"C";"C";"B";"B";;;"5,17";"false";;;;;;"";"";;"2833";
"2741";"1845";"FR4100177";"9180";"Forêts de pentes, éboulis ou ravins du Tilio-Acerion";"25";"A";"C";"B";"A";;;"8,5";"true";;;;;;"";"";;"2819";
"2742";"1845";"FR4100177";"6210";"Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables)";"5";"D";;;;;;"1,7";"false";;;;;;"";"";;"2842";
"2743";"1845";"FR4100177";"91E0";"Forêts alluviales à Alnus glutinosa et Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)";"1";"C";"C";"C";"B";;;"0,34";"true";;;;;;"";"";;"2794";
"2744";"1845";"FR4100177";"7220";"Sources pétrifiantes avec formation de tuf (Cratoneurion)";"1";"C";"C";"B";"B";;;"0,34";"true";;;;;;"";"";;"2778";
"2768";"1849";"FR4100194";"7110";"Tourbières hautes actives";"4";"A";"C";"C";"B";;;"40,44";"true";;;;;;"";"";;"2821";
"2769";"1849";"FR4100194";"7140";"Tourbières de transition et tremblantes";"1";"A";"C";"C";"B";;;"10,11";"false";;;;;;"";"";;"2823";
"2770";"1849";"FR4100194";"9110";"Hêtraies du Luzulo-Fagetum";"79";"A";"C";"B";"B";;;"798,69";"false";;;;;;"";"";;"2813";
"2771";"1849";"FR4100194";"91D0";"Tourbières boisées";"2";"B";"C";"B";"B";;;"20,22";"true";;;;;;"";"";;"2754";
"2772";"1849";"FR4100194";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"10";"B";"C";"B";"B";;;"101,1";"false";;;;;;"";"";;"2843";
"2873";"1867";"FR3102004";"1110";"Bancs de sable à faible couverture permanente d'eau marine";"86";"A";"B";"B";"B";;;"58690,7";"false";;;;;;"";"";;"2707";
"2874";"1867";"FR3102004";"1170";"Récifs";"1";"C";"C";"B";"C";;;"682,45";"false";;;;;;"";"";;"2713";
"2897";"1873";"FR4100157";"6210";"Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables)";"45";"A";"C";"A";"A";;;"197,55";"false";;;;;;"";"";;"2842";
"2898";"1873";"FR4100157";"9150";"Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion";"25";"B";"C";"B";"C";;;"109,75";"false";;;;;;"";"";;"2815";
"2899";"1873";"FR4100157";"9160";"Chênaies pédonculées ou chênaies-charmaies subatlantiques et médio-européennes du Carpinion betuli";"2";"D";;;;;;"8,78";"false";;;;;;"";"";;"2817";
"2997";"1892";"FR4100193";"6230";"Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)";"1";"B";"C";"B";"B";;;"15,83";"true";;;;;;"";"";;"2797";
"2998";"1892";"FR4100193";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"7";"B";"C";"B";"B";;;"110,81";"false";;;;;;"";"";;"2843";
"2999";"1892";"FR4100193";"9110";"Hêtraies du Luzulo-Fagetum";"90";"A";"C";"B";"B";;;"1424,7";"false";;;;;;"";"";;"2813";
"3069";"1905";"FR4100197";"7110";"Tourbières hautes actives";"0";"C";"C";"B";"B";;;"0";"true";;;;;;"";"";;"2821";
"3070";"1905";"FR4100197";"7140";"Tourbières de transition et tremblantes";"0";"C";"C";"B";"B";;;"0";"false";;;;;;"";"";;"2823";
"3071";"1905";"FR4100197";"8110";"Eboulis siliceux de l'étage montagnard à nival (Androsacetalia alpinae et Galeopsietalia ladani)";"3";"C";"C";"B";"A";;;"17,94";"false";;;;;;"";"";;"2781";
"3072";"1905";"FR4100197";"9110";"Hêtraies du Luzulo-Fagetum";"47";"B";"C";"B";"B";;;"281,06";"false";;;;;;"";"";;"2813";
"3073";"1905";"FR4100197";"9180";"Forêts de pentes, éboulis ou ravins du Tilio-Acerion";"4";"B";"C";"B";"A";;;"23,92";"true";;;;;;"";"";;"2819";
"3074";"1905";"FR4100197";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"38";"B";"B";"B";"A";;;"227,24";"false";;;;;;"";"";;"2843";
"3075";"1905";"FR4100197";"9130";"Hêtraies de l'Asperulo-Fagetum";"8";"B";"C";"A";"B";;;"47,84";"false";;;;;;"";"";;"2814";
"3076";"1905";"FR4100197";"91D0";"Tourbières boisées";"0";"C";"C";"B";"B";;;"0";"true";;;;;;"";"";;"2754";
"3077";"1906";"FR4100198";"6430";"Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin";"1";"A";"C";"B";"A";;;"9,59";"false";;;;;;"";"";;"2835";
"3078";"1906";"FR4100198";"7110";"Tourbières hautes actives";"2";"B";"C";"B";"A";;;"19,18";"true";;;;;;"";"";;"2821";
"3079";"1906";"FR4100198";"8220";"Pentes rocheuses siliceuses avec végétation chasmophytique";"2";"A";"C";"A";"A";;;"19,18";"false";;;;;;"";"";;"2787";
"3080";"1906";"FR4100198";"9110";"Hêtraies du Luzulo-Fagetum";"70";"B";"C";"B";"B";;;"671,3";"false";;;;;;"";"";;"2813";
"3081";"1906";"FR4100198";"9180";"Forêts de pentes, éboulis ou ravins du Tilio-Acerion";"4";"B";"C";"A";"A";;;"38,36";"true";;;;;;"";"";;"2819";
"3082";"1906";"FR4100198";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"10";"A";"B";"A";"A";;;"95,9";"false";;;;;;"";"";;"2843";
"3083";"1907";"FR4100199";"9110";"Hêtraies du Luzulo-Fagetum";"80";"B";"C";"B";"B";;;"548,8";"false";;;;;;"";"";;"2813";
"3084";"1907";"FR4100199";"9180";"Forêts de pentes, éboulis ou ravins du Tilio-Acerion";"3";"B";"C";"B";"A";;;"20,58";"true";;;;;;"";"";;"2819";
"3085";"1907";"FR4100199";"9140";"Hêtraies subalpines médio-européennes à Acer et Rumex arifolius";"1";"C";"B";"A";"A";;;"6,86";"false";;;;;;"";"";;"2816";
