"PK_HABIT1_DECL";"FPK_NATURA";"SITECODE";"FPK_HABIT1";"CODE";"LB_HAB_FR";"COVER";"AREA";"CONSERVE";"CONSERVE_METHODE";"COMMENTAIRE"
"34528";"5358";"FR5300015";"33079";"1230-3";"Pelouses aérohalines sur falaises cristallines et marno-calcaires";"0";;"B";;
"34529";"5358";"FR5300015";"33079";"1230-5";"Pelouses hygrophiles des bas de falaise";"0";;"B";;
"34530";"5358";"FR5300015";"33079";"1230-1";"Végétation des fissures des rochers eu-atlantiques à nord-atlantiques";"0";;"B";;
"34531";"5358";"FR5300015";"33082";"1430-2";"Végétations halo-nitrophiles des colonies d’oiseaux marins, méditerranéennes et thermo-atlantiques";"0";"0,48";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34532";"5358";"FR5300015";"33083";"2110-1";"Dunes mobiles embryonnaires atlantiques";"0";"1,12";"B";"Habitats des dunes non boisées  du littoral atlantique (Goffé L., 2011)";
"34533";"5358";"FR5300015";"33084";"9180-1";"Ormaies-frênaies de ravin, atlantiques à gouet d’Italie";"0";"0,43";"C";;
"34534";"5358";"FR5300015";"33085";"1170-1";"La roche supralittorale (façade atlantique)";"0,04";"9,9";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34535";"5358";"FR5300015";"33085";"1170-2";"La roche médiolittorale en mode abrité (façade atlantique)";"1,66";"442,4";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34536";"5358";"FR5300015";"33085";"1170-3";"La roche médiolittorale en mode exposé (façade atlantique)";"0,97";"258,9";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34537";"5358";"FR5300015";"33085";"1170-5";"La roche infralittorale en mode exposé (façade atlantique)";"13,79";"3670,9";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34538";"5358";"FR5300015";"33085";"1170-8";"Les cuvettes ou mares permanentes (façade atlantique)";"0";"0,4";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34539";"5358";"FR5300015";"33085";"1170-9";"Les champs de blocs (façade atlantique)";"0,02";"5,5";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34540";"5358";"FR5300015";"33087";"1220-1";"Végétation des hauts de cordons de galets";"0";;"B";;
"34541";"5358";"FR5300015";"33087";"1220-2";"Végétation des revers internes des cordons de galets";"0";;"B";;
"34542";"5358";"FR5300015";"33088";"1130-1";"Slikke en mer à marées (façade atlantique)";"4";"1065";"B";;
"34543";"5358";"FR5300015";"33089";"1140-1";"Sables des hauts de plage à Talitres (façade atlantique)";"0,05";"13,82";"C";"Habitats naturels marins (Lepareur F., 2011)";
"34544";"5358";"FR5300015";"33089";"1140-2";"Galets et cailloutis des hauts de plages à Orchestia (façade atlantique)";"0";"0";"C";"Habitats naturels marins (Lepareur F., 2011)";"surface voir hab 1140-1"
"34545";"5358";"FR5300015";"33089";"1140-3";"Estrans de sable fin (façade atlantique)";"0";"0";"C";;"un travail reste à accomplir pour préciser les surfaces entre les habitats 1140-3, 1140-4, 1140-5 et 1130-1"
"34546";"5358";"FR5300015";"33089";"1140-6";"Sédiments hétérogènes envasés (façade atlantique)";"0";"0";"C";"Habitats naturels marins (Lepareur F., 2011)";
"34547";"5358";"FR5300015";"33089";"1140-4";"Sables dunaires (façade atlantique)";"0";"0";"C";;"un travail reste à accomplir pour préciser les surfaces entre les habitats 1140-3, 1140-4, 1140-5 et 1130-1"
"34548";"5358";"FR5300015";"33089";"1140-5";"Estrans de sables grossiers et graviers (façade atlantique)";"0";"0";"C";;"un travail reste à accomplir pour préciser les surfaces entre les habitats 1140-3, 1140-4, 1140-5 et 1130-1"
"34549";"5358";"FR5300015";"33090";"1110-3";"Sables grossiers et graviers, bancs de maerl (façade atlantique)";"27,32";"7271";"B";"Habitats naturels marins (Lepareur F., 2011)";"Les bancs de Maërl occupent une surface de 18.8 Ha"
"34550";"5358";"FR5300015";"33090";"1110-1";"Sables fins propres et légèrement envasés, herbiers à Zostera marina (façade atlantique)";"2,54";"676";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34551";"5358";"FR5300015";"33090";"1110-2";"Sables moyens dunaires (façade atlantique)";"8,45";"2249";"B";"Habitats naturels marins (Lepareur F., 2011)";
"34552";"5358";"FR5300015";"33091";"1210-1";"Laisses de mer sur substrat sableux à vaseux des côtes Manche-Atlantique et mer du Nord";"0";;"B";;
"34553";"5358";"FR5300015";"33091";"1210-2";"Laisses de mer sur cordons de galets et de graviers des côtes Manche-Atlantique et mer du Nord";"0";;"B";;
"34554";"5358";"FR5300015";"33095";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0";"0,72";"B";"Habitats forestiers et eco-complexes alluviaux (RNF 2013)";
"34615";"5763";"FR7200681";"7667";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0,29";"32";"C";;
"34616";"5763";"FR7200681";"7662";"3150-2";"Plans d’eau eutrophes avec dominance de macrophytes libres submergés";"0,01";"0,7";"C";;
