"PK_HABIT2";"FPK_NATURA";"SITECODE";"HABCODE";"DESCRIPTFR";"COVER"
10833,00;3217,00;"FR4112007";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
10834,00;3217,00;"FR4112007";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"1"
10835,00;3217,00;"FR4112007";"N09";"Pelouses sèches, Steppes";"1"
10836,00;3217,00;"FR4112007";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"1"
10837,00;3217,00;"FR4112007";"N19";"Forêts mixtes";"90"
10838,00;3217,00;"FR4112007";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
10839,00;3217,00;"FR4112007";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
10854,00;3220,00;"FR4112010";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
10855,00;3220,00;"FR4112010";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"1"
10856,00;3220,00;"FR4112010";"N16";"Forêts caducifoliées";"5"
10857,00;3220,00;"FR4112010";"N17";"Forêts de résineux";"60"
10858,00;3220,00;"FR4112010";"N19";"Forêts mixtes";"28"
10859,00;3220,00;"FR4112010";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"3"
10860,00;3220,00;"FR4112010";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"1"
10861,00;3220,00;"FR4112010";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
10922,00;3229,00;"FR4211811";"N21";"Zones de plantations d'arbres  (incluant les Vergers, Vignes,  Dehesas)";"5"
10923,00;3229,00;"FR4211811";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"4"
10924,00;3229,00;"FR4211811";"N16";"Forêts caducifoliées";"42"
10925,00;3229,00;"FR4211811";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"15"
10926,00;3229,00;"FR4211811";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"4"
10927,00;3229,00;"FR4211811";"N09";"Pelouses sèches, Steppes";"1"
10928,00;3229,00;"FR4211811";"N12";"Cultures céréalières extensives   (incluant les cultures en rotation avec une jachère régulière)";"10"
10929,00;3229,00;"FR4211811";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"19"
10930,00;3230,00;"FR4211812";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"5"
10931,00;3230,00;"FR4211812";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"10"
10932,00;3230,00;"FR4211812";"N16";"Forêts caducifoliées";"35"
10933,00;3230,00;"FR4211812";"N12";"Cultures céréalières extensives   (incluant les cultures en rotation avec une jachère régulière)";"20"
10934,00;3230,00;"FR4211812";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"5"
