"PK_CONTACT";"FPK_NATURA";"SITECODE";"NAME";"ADDRESS";"EMAIL";"POST_NAME";"POST_CODE";"PHONE"
"1761";"3217";"FR4112007";"Office National des Forêts (ONF).";;;;;
"1764";"3220";"FR4112010";"Office National des Forêt";;;;;
"1773";"3229";"FR4211811";"- Conservatoire des sites Alsaciens : écomusée, 68190 Ungersheim.

- ONF, direction régionale : 14, rue Ml Juin, 67084 Strasbourg cedex.

- Préfecture de Région : 5 place de la République, 67000 Strasbourg";;;;;
"1774";"3230";"FR4211812";"- Conservatoire des sites Alsaciens : écomusée, 68190 Ungersheim.



- Préfecture de Région Alsace : 5, place de la République, 67000 Strasbourg.









";;;;;
"1775";"3231";"FR4211814";"Office National des Forêts - Direction Régionale Alsace

Cité Administrative 14, rue du Maréchal Juin 67084 STRASBOURG CEDEX";;;;;
"1816";"3272";"FR5212013";;;;;;
"1817";"3273";"FR5212014";;;;;;
"1818";"3274";"FR5212015";;;;;;
"1891";"3347";"FR7212017";;;;;;
"1893";"3349";"FR7212019";;;;;;
"1929";"3385";"FR8212011";"Ministère de la Défense

Conservatoire Régional des Espaces Naturels

";;;;;
"1943";"3399";"FR8212025";;;;;;
"1959";"3415";"FR9110076";"Gestionnaires des réserves naturelles :

MAIRIE DE PY 66360 OLETTE. 

MAIRIE DE MANTET 66360 OLETTE

MAIRIE DE PRATS DE MOLLO LA PRESTE 66230 PRATS DE MOLLO";;;;;
"1984";"3440";"FR9112020";;;;;;
"1989";"3445";"FR9112025";"Communauté d'agglomération Perpignan-Méditerranée, gestionnaire des terrains du Conservatoire du littoral et chargée de l'animation de la mise en oeuvre du document d'objectifs";;;;;
"1990";"3446";"FR9112026";;;;;;
"1998";"3454";"FR9112034";;;;;;
"1999";"3455";"FR9112035";;;;;;
"2050";"3506";"FR9412009";"Etat sous l'autorité du Préfet Maritime de Méditerranée";;;;;
"2051";"3507";"FR9412010";"Etat sous l'autorité du Préfet Maritime de la Méditerranée";;;;;
"2073";"1776";"FR4201810";"- DIREN Alsace, 8 rue Adolphe Seyboth 67080 Strasbourg cedex 



- Syndicat Mixte du Barrage de Michelbach



- Conservatoire des Sites Alsaciens - Ecomuséé 68190 Ungersheim";;;;;
"2091";"1794";"FR4202003";"DIREN Alsace : 8, rue Adolphe Seyboth, 67080 Strasbourg cedex.";;;;;
"2141";"1844";"FR4100175";;;;;;
"2142";"1845";"FR4100177";"Office National des Forêts pour les parties soumises

Communes, Conservatoire des Sites Lorrains avec la Commission de Protection des Eaux, du Patrimoine, de l’Environnement, du Sous-sol et des Chiroptères de Lorraine (CPEPESC Lorraine).";;;;;
"2146";"1849";"FR4100194";"Office National des Forêts.";;;;;
"2164";"1867";"FR3102004";"Services de l'Etat sous l'autorité du Préfet maritime de la Manche et de la mer du Nord";;;;;
"2170";"1873";"FR4100157";"Armée - établissement du génie de Nancy

Lycée agricole de Pixérecourt et CSL pour partie";;;;;
"2189";"1892";"FR4100193";"Office National des Forêts.";;;;;
"2196";"1899";"FR4100246";"Conservatoire des Sites Lorrains.



Commission de Protection des Eaux, du Patrimoine, de l’Environnement, du Sous-sol et des Chiroptères de Lorraine (CPEPESC Lorraine)";;;;;
"2197";"1900";"FR4100247";;;;;;
"2202";"1905";"FR4100197";"Office National des Forêts.";;;;;
"2203";"1906";"FR4100198";"Office National de Forêts.";;;;;
"2205";"1908";"FR4100201";"Office National des Forêts";;;;;
"2206";"1909";"FR4100202";"Forêts relevant du régime forestier : Office National des Forêts.

Tourbière de la Charme : Conservatoire des Sites Lorrains.";;;;;
"2209";"1912";"FR4100205";"Commune de La Bresse.";;;;;
"2211";"1914";"FR4100207";"Conservatoire des Sites lorrains.";;;;;
"2213";"1916";"FR4100209";"Office National des Forêts.";;;;;
"2214";"1917";"FR4100210";"Conservatoire des Sites Lorrains.";;;;;
"2215";"1918";"FR4100211";"Office National des Forêts et Conservatoire des Sites Lorrains.";;;;;
"2267";"1970";"FR7200670";;;;;;
"2310";"2013";"FR5202010";;;;;;
"2311";"2014";"FR5202011";;;;;;
"2312";"2015";"FR5202012";;;;;;
"2313";"2016";"FR5202013";;;;;;
"2434";"2137";"FR2100344";"Opérateur du document d'objectifs : Office national des forêts - agence départementale Haute-Marne - 19 avenue d'Ashton-Under-Lyne - BP 1008 - F 52008 CHAUMONT CEDEX - tél +33 3 25 35 36 40 - E-mail ag.haute-marne@onf.fr";;"ag.haute-marne@onf.fr";;;
"2470";"2173";"FR2200392";"Office National des Forêts.";;;;;
"2478";"2181";"FR2200387";"ONF

Groupement forestier de Thiérache";;;;;
"2775";"2478";"FR9101382";;;;;;
"2776";"2479";"FR9101383";;;;;;
"2786";"2489";"FR9101475";;;;;;
"2793";"2496";"FR9101487";;;;;;
"2798";"2501";"FR9101476";;;;;;
"2810";"2513";"FR9101461";;;;;;
"2852";"2555";"FR8301018";"Pas de structure animatrice";;;;;
"2964";"2667";"FR9402013";"Etat sous l'autorité du préfet maritime de Méditerranée";;;;;
"2965";"2668";"FR9402014";"Etat sous l'autorité du préfet maritime de Méditerranée";;;;;
"2966";"2669";"FR9402015";"Etat sous l'autorité du préfet maritime de Méditerranée";;;;;
"2967";"2670";"FR9402016";"Etat sous la responsabilité du Préfet Maritime de la Méditerranée";;;;;
"3078";"2781";"FR7300858";;;;;;
"3079";"2782";"FR7300932";"Office National des Forêts (Service départemental des Hautes-Pyrénées) pour les forêts communales soumises au régime forestier.";;;;;
"3081";"2784";"FR7300848";;;;;;
"3082";"2785";"FR7300849";;;;;;
"3083";"2786";"FR7300850";;;;;;
"3084";"2787";"FR7300851";;;;;;
"3090";"2793";"FR7300859";;;;;;
"3092";"2795";"FR7300861";;;;;;
"3093";"2796";"FR7300862";"Office National des Forêts (Service interdépartemental Aveyron-Lot) pour les forêts soumises au régime forestier.";;;;;
"3098";"2801";"FR7300855";;;;;;
"3099";"2802";"FR7300822";"OFFICE NATIONAL DES FORETS (Service départemental de l'Ariège) pour les terrains domaniaux et soumis aux régime forestier (la quasi totalité du site).";;;;;
"3109";"2812";"FR7300821";"OFFICE NATIONAL DES FORETS (Service départemental de l'Ariège) pour la forêt domaniale.";;;;;
"3116";"2819";"FR7300836";;;;;;
"3124";"2827";"FR7300914";;;;;;
"3132";"2835";"FR7300924";"PNPO pour l'ensemble du site (en totalité en zone centrale).

Office National des Forêts (Service départemental des Hautes-Pyrénées) pour les forêts domaniales et communales soumises au régime forestier.";;;;;
"3135";"2838";"FR7300927";"Parc National des Pyrénées Occidentales en zone centrale du Parc.

Office National des Forêts (Service départemental des Hautes-Pyrénées) pour les forêts domaniales et communales soumises au régime forestier.";;;;;
"3136";"2839";"FR7300928";"Parc National des Pyrénées pour la zone centrale du Parc.

Office National des Forêts (Service départemental des Hautes-Pyrénées) pour les forêts communales soumises au régime forestier.";;;;;
"3145";"2848";"FR7300880";"Office National des Forêts, Service Interdépartemental Haute-Garonne-Gers pour les forêts communales soumises.";;;;;
"3146";"2849";"FR7300881";"Office National des Forêts, Service Interdépartemental Haute-Garonne-Gers pour les forêts Domaniales et communales soumises et la RBD.";;;;;
"3147";"2850";"FR7300883";"Office National des Forêts, Service Interdépartemental Haute-Garonne-Gers pour les forêts domaniales et communales soumises et la RBD.";;;;;
"3148";"2851";"FR7300884";"Office National des Forêts, Service Interdépartemental Haute-Garonne-Gers pour les forêts domaniales et communales soumises et la RBF.";;;;;
"3149";"2852";"FR7300885";"Communes

Communautés de communes

SIVOM

Particuliers

Office National des Forêts pour les forêts relevant du régime forestier (domaniales et communales)



";;;;;
"3153";"2856";"FR7300893";;;;;;
"3156";"2859";"FR7300900";;;;;;
"3157";"2860";"FR7300902";;;;;;
"3162";"2865";"FR7300887";;;;;;
"3165";"2868";"FR7200718";;;;;;
"3168";"2871";"FR7200721";;;;;;
"3169";"2872";"FR7200722";;;;;;
"3170";"2873";"FR7200723";"Ministère de la défense et O.N.F.";;;;;
"3180";"2883";"FR7200738";;;;;;
"3186";"2889";"FR7200692";;;;;;
"3200";"2903";"FR7200710";"O.N.F. pour 82 % de la superficie des sites (forêt domaniale).";;;;;
"3201";"2904";"FR7200711";"SIVOM de Léon,

Vielle-St-Girons et Moliets en partie,

ONF en partie.";;;;;
"3202";"2905";"FR7200712";"O.N.F. (sur les deux tiers du site).";;;;;
"3203";"2906";"FR7200713";"ONF.";;;;;
"3210";"2913";"FR7200785";;;;;;
"3355";"3058";"FR7300951";"OFFICE NATIONAL DES FORÊTS,  Agence interdépartementale de l'Aveyron, Lot,  Tarn, Tarn-et-Garonne. 5 rue Christian d'Espic 81 100 CASTRES;";;;;;
"3356";"3059";"FR7300934";"Office National de la Chasse (CNERA, Station des Pyrénées) pour la réserve de chasse du Moudang.

Office National des Forêts (Service départemental des Hautes-Pyrénées) pour les forêts communales soumises au régime forestier.";;;;;
"3357";"3060";"FR7300935";"Office National des Forêts (Service départemental des Hautes-Pyrénées) pour les forêts communales soumises au régime forestier.";;;;;
"3360";"3063";"FR7300942";"Office National des Forêts (Service interdépartemental Tarn - Tarn et Garonne) pour les forêts soumises au régime forestier.";;;;;
"3362";"3065";"FR7300945";;;;;;
"3363";"3066";"FR7300946";"Office National des Forêts : service interdépartemental Tarn - Tarn et Garonne pour les forêts domaniales et soumises (23% du site).";;;;;
"3365";"3068";"FR7300949";"OFFICE NATIONAL DES FORETS (Service départemental Tarn, Tarn et Garonne) pour la forêt communale.";;;;;
"3367";"3070";"FR7300952";"OFFICE NATIONAL DES FORÊTS (Service départemental Tarn - Tarn et Garonne) pour les forêts communales.

Conservatoire Régional des Espaces Naturels de Midi-Pyrénées sur Martre de Bel Air (acquisition de 55 hectares).";;;;;
"3376";"3079";"FR7300948";;;;;;
"3384";"3087";"FR8201664";;;;;;
"3385";"3088";"FR8201665";"Le document d'objectifs du site a été validé fin 2003.";;;;;
"3396";"3099";"FR9402018";"Etat sous l'autorité du Préfet Maritime de Méditerranée";;;;;
"3417";"3120";"FR8201650";"Parc Naturel Régional du Haut-Jura

Maison du Haut-Jura

39310 LAJOUX";;;;;
"3444";"3147";"FR2210026";;;;;;
"3445";"3148";"FR2210068";;;;;;
"3446";"3149";"FR2210104";;;;;;
"3447";"3150";"FR2212001";"Office national des forêts sur la forêt domaniale.";;;;;
"3448";"3151";"FR2212002";"Office national des forêts sur la forêt domaniale (8480 ha environ) et les forêts communales (550 ha environ).";;;;;
"3450";"3153";"FR2212004";"ONF pour la forêt domaniale";;;;;
"3451";"3154";"FR2212005";"ONF pour la forêt domaniale et forêt de l'Institut de France, conservatoire des sites naturels de Picardie,...";;;;;
"3452";"3155";"FR2212006";"Association ""La Roselière"" pour la réserve naturelle de Vesles-et-Caumont (110 ha) et le conservatoire des sites naturels de Picardie pour les terrains acquis (17 ha) dans le cadre du programme LIFE Tourbières de France.";;;;;
"3453";"3156";"FR2212007";;;;;;
"3454";"3157";"FR2310044";"PORTS AUTONOME DU HAVRE ET DE ROUEN PREFET DE HAUTE NORMANDIE

MAISON DE L'ESTUAIRE pour la réserve naturelle de l'estuaire

Parc de Brotonne pour la Réserve des Mannevilles

reste: privés

";;;;;
"3456";"3159";"FR2312003";"Sur les 700 ha de l'EPBS, le syndicat mixte du Vaudreuil.

Sur les 70 ha de la réserve ornithologique de la grande Noë : le Groupe ornithologique Normand

";;;;;
"3472";"3175";"FR2510037";"SCI des Iles Chausey

Municipalité de Granville

Groupe Ornithologique Normand

Préfecture de la Manche

Préfecture maritime de la Manche et de la mer du Nord

Conservatoire du Littoral";;;;;
"3473";"3176";"FR2510046";"Parc Naturel Régional des Marais du Cotentin et du Bessin

Cantepie

BP 282

50500 LES VEYS

Tél : 02 33 71 61 90

Fax : 02 33 71 61 91";;;;;
"3474";"3177";"FR2510047";"Préfecture de la Manche

Préfecture maritime de la Manche et de la mer du Nord

Groupe Ornithologique Normand (gestion réserve libre)

Muséum National d'Histoire Naturelle";;;;;
"3475";"3178";"FR2510048";"DIREN Basse-Normandie

CITIS - Le Pentacle

14209 HEROUVILLE-SAINT-CLAIR Cedex

Tél : 02 31 46 70 00

Fax : 02 31 44 72 81



DIREN Bretagne

2 rue Maurice Fabre

CS 86523

35065 RENNES Cedex

Tél : 02 23 48 64 00";;;;;
"3476";"3179";"FR2510059";"CONSERVATOIRE DES ESPACES LACUSTRES ET DU LITTORAL";;;;;
"3477";"3180";"FR2510099";;;;;;
"3478";"3181";"FR2512001";"Etat français (Domaine public maritime).";;;;;
"3479";"3182";"FR2512002";;;;;;
"3480";"3183";"FR2512003";;;;;;
"3481";"3184";"FR2512004";"DIREN Basse-Normandie et Centre";;;;;
"3490";"3193";"FR2612008";"Propriétaires privés";;;;;
"3493";"3196";"FR3110038";"Conservatoire de l'Espace Littoral et des Rivages Lac 72 Rue Regnault F75013 Paris";;;;;
"3494";"3197";"FR3110039";"CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LAC 72 RUE REGNAULT F75013 PARIS";;;;;
"3495";"3198";"FR3110083";;;;;;
