"PK_MAP";"FPK_NATURA";"SITECODE";"SCALE";"SOURCE";"ANNEE_REF";"DETAILS"
"5";"1794";"FR4202003";"25000";"IGN";;
"13";"3229";"FR4211811";"25000";"IGN";;
"14";"3230";"FR4211812";"25000";"IGN";;
"15";"3231";"FR4211814";"25000";"IGN";;
"128";"2013";"FR5202010";"50000";"SHOM";;
"129";"2014";"FR5202011";"50000";"SHOM";;
"130";"2015";"FR5202012";"50000";"SHOM";;
"131";"2016";"FR5202013";"50000";"SHOM";;
"148";"3272";"FR5212013";"50000";"SHOM";;
"149";"3273";"FR5212014";"50000";"SHOM";;
"150";"3274";"FR5212015";"50000";"SHOM";;
"322";"1970";"FR7200670";"100000";"IGN";;
"343";"2889";"FR7200692";"100000";"IGN";;
"357";"2903";"FR7200710";"100000";"IGN";;
"358";"2904";"FR7200711";"100000";"IGN";;
"359";"2905";"FR7200712";"100000";"IGN";;
"360";"2906";"FR7200713";"100000";"IGN";;
"365";"2868";"FR7200718";"25000";"IGN";;
"368";"2871";"FR7200721";"100000";"IGN";;
"369";"2872";"FR7200722";"100000";"IGN";;
"370";"2873";"FR7200723";"100000";"IGN";;
"379";"2883";"FR7200738";"100000";"IGN";;
"409";"2913";"FR7200785";"100000";"IGN";;
"436";"3347";"FR7212017";"150000";"SHOM";;
"463";"2812";"FR7300821";"25000";"IGN";;
"464";"2802";"FR7300822";"25000";"IGN";;
"470";"2819";"FR7300836";"100000";"IGN";;
"477";"2784";"FR7300848";"25000";"IGN";;
"478";"2785";"FR7300849";"25000";"IGN";;
"479";"2786";"FR7300850";"25000";"IGN";;
"480";"2787";"FR7300851";"25000";"IGN";;
"483";"2801";"FR7300855";"25000";"IGN";;
"485";"2781";"FR7300858";"25000";"IGN";;
"486";"2793";"FR7300859";"25000";"IGN";;
"488";"2795";"FR7300861";"25000";"IGN";;
"489";"2796";"FR7300862";"100000";"IGN";;
"499";"2848";"FR7300880";"25000";"IGN";;
"500";"2849";"FR7300881";"25000";"IGN";;
"501";"2850";"FR7300883";"25000";"IGN";;
"502";"2851";"FR7300884";"100000";"IGN";;
"503";"2852";"FR7300885";"25000";"IGN";;
"504";"2865";"FR7300887";"25000";"IGN";;
"507";"2856";"FR7300893";"100000";"IGN";;
"510";"2859";"FR7300900";"25000";"IGN";;
"511";"2860";"FR7300902";"25000";"IGN";;
"521";"2827";"FR7300914";"25000";"IGN";;
"529";"2835";"FR7300924";"25000";"IGN";;
"532";"2838";"FR7300927";"25000";"IGN";;
"533";"2839";"FR7300928";"25000";"IGN";;
"537";"2782";"FR7300932";"100000";"IGN";;
"539";"3059";"FR7300934";"25000";"IGN";;
"540";"3060";"FR7300935";"25000";"IGN";;
"543";"3063";"FR7300942";"25000";"IGN";;
"545";"3065";"FR7300945";"100000";"IGN";;
"546";"3066";"FR7300946";"50000";"IGN";;
"547";"3079";"FR7300948";"25000";"IGN";;
"548";"3068";"FR7300949";"25000";"IGN";;
"549";"3058";"FR7300951";"25000";"IGN";;
"550";"3070";"FR7300952";"25000";"IGN";;
"618";"3120";"FR8201650";"25000";"IGN";;
"628";"3087";"FR8201664";"100000";"IGN";;
"629";"3088";"FR8201665";"100000";"IGN";;
"747";"3385";"FR8212011";"25000";"IGN";;
"761";"3399";"FR8212025";"25000";"IGN";;
"768";"2555";"FR8301018";"25000";"IGN";;
"929";"2137";"FR2100344";"25000";"IGN";;
"976";"2181";"FR2200387";"25000";"IGN";;
"980";"2173";"FR2200392";"50000";"IGN";;
"987";"3147";"FR2210026";"100000";"AUTRE";;
"988";"3148";"FR2210068";"100000";"AUTRE";;
"989";"3149";"FR2210104";"100000";"AUTRE";;
"990";"3150";"FR2212001";"100000";"IGN";;
"991";"3151";"FR2212002";"100000";"AUTRE";;
"993";"3153";"FR2212004";"25000";"IGN";;
"994";"3154";"FR2212005";"100000";"IGN";;
"995";"3155";"FR2212006";"25000";"IGN";;
"996";"3156";"FR2212007";"25000";"IGN";;
"1027";"3157";"FR2310044";"100000";"IGN";;"False"
"1029";"3159";"FR2312003";"25000";"IGN";;"digitalisation sur BDortho, projection Lambert II étendu méridien de Paris"
"1135";"3175";"FR2510037";"50000";"SHOM";;
"1136";"3176";"FR2510046";"25000";"IGN";;
"1137";"3177";"FR2510047";"50000";"IGN";;
"1138";"3178";"FR2510048";"25000";"IGN";;
"1139";"3179";"FR2510059";"100000";"IGN";;
"1140";"3180";"FR2510099";"100000";"AUTRE";;
"1141";"3181";"FR2512001";"100000";"IGN";;
"1142";"3182";"FR2512002";"25000";"IGN";;
"1143";"3183";"FR2512003";"25000";"IGN";;
"1144";"3184";"FR2512004";"25000";"IGN";;
"1202";"3193";"FR2612008";"100000";"IGN";;"Logiciel MAPINFO.

Numérisation sur le fond de plans raster SCAN100 IGN."
"1234";"3196";"FR3110038";"100000";"AUTRE";;
"1235";"3197";"FR3110039";"100000";"AUTRE";;
"1236";"3198";"FR3110083";"100000";"AUTRE";;
"1237";"3199";"FR3110085";"74300";"SHOM";;
"1238";"3200";"FR3112001";"25000";"IGN";;
"1239";"3201";"FR3112002";"25000";"IGN";;
"1240";"3202";"FR3112003";"25000";"IGN";;
"1241";"3203";"FR3112004";"25000";"IGN";;
"1242";"3204";"FR3112005";"25000";"IGN";;
