"PK_MESURE";"FPK_NATURA";"SITECODE";"LB_CODE_MESURE";"LIBELLE_MESURE_FR";"COMMENTAIRE_MESURE";"HABITATS";"ESPECES"
"6";"407";"FR2200377";"2.1       ";"Maintien des prairies et d'autres habitats ""ouverts""";"Pâturage des habitats de pelouses";";6110;6210";
"11";"415";"FR2200388";"2.1       ";"Maintien des prairies et d'autres habitats ""ouverts""";;";6410;6510";
"12";"415";"FR2200388";"4.0       ";"Autres mesures liées aux zones humides";"Entretien de mares";";3140";
"34245";"864";"FR9400573";"3.2       ";"Ajustement de la gestion forestière";;";9260;92A0;9340";
"34248";"864";"FR9400573";"7.0       ";"Autres mesures liées à la gestion des espèces";"introduction de truites souches Corse";;";5349"
"34249";"864";"FR9400573";"6.1       ";"Établissement d'aires/espaces protégé(e)s ";"exclos pour astragale";;";6269"
"34251";"6759";"FR2410003";"2.2       ";"Ajustement des modes de culture";;;
"34252";"6759";"FR2410003";"4.0       ";"Autres mesures liées aux zones humides";;;
"34273";"7330";"FR2112004";"2.1       ";"Maintien des prairies et d'autres habitats ""ouverts""";;;
"34274";"7330";"FR2112004";"4.1       ";"Restauration / amélioration de la qualité de l'eau";;;
"34275";"7331";"FR2112005";"2.1       ";"Maintien des prairies et d'autres habitats ""ouverts""";;;
"34276";"7331";"FR2112005";"3.2       ";"Ajustement de la gestion forestière";;;
"34277";"7331";"FR2112005";"4.1       ";"Restauration / amélioration de la qualité de l'eau";;;
"34278";"7331";"FR2112005";"4.2       ";"Restauration / amélioration du régime hydrologique";;;
"34279";"7332";"FR2112006";"2.1       ";"Maintien des prairies et d'autres habitats ""ouverts""";;;
"34280";"7332";"FR2112006";"3.2       ";"Ajustement de la gestion forestière";;;
"34281";"7332";"FR2112006";"4.1       ";"Restauration / amélioration de la qualité de l'eau";;;
"34282";"7332";"FR2112006";"4.2       ";"Restauration / amélioration du régime hydrologique";;;
"34283";"7333";"FR2112008";"4.1       ";"Restauration / amélioration de la qualité de l'eau";;;
