"PK_OWNERSHIP";"FPK_NATURA";"SITECODE";"TYPE";"LB_STPRO";"COVER"
"13";"1916";"FR4100209";"01";"Propriété privée (personne physique)";
"20";"1912";"FR4100205";"01";"Propriété privée (personne physique)";
"26";"1917";"FR4100210";"01";"Propriété privée (personne physique)";
"37";"2913";"FR7200785";"01";"Propriété privée (personne physique)";
"47";"2819";"FR7300836";"01";"Propriété privée (personne physique)";
"48";"1873";"FR4100157";"01";"Propriété privée (personne physique)";
"55";"2784";"FR7300848";"01";"Propriété privée (personne physique)";
"57";"2785";"FR7300849";"01";"Propriété privée (personne physique)";
"58";"3204";"FR3112005";"01";"Propriété privée (personne physique)";
"64";"2812";"FR7300821";"01";"Propriété privée (personne physique)";
"66";"1845";"FR4100177";"01";"Propriété privée (personne physique)";
"75";"3200";"FR3112001";"01";"Propriété privée (personne physique)";
"76";"1844";"FR4100175";"01";"Propriété privée (personne physique)";
"88";"2883";"FR7200738";"01";"Propriété privée (personne physique)";
"99";"1776";"FR4201810";"01";"Propriété privée (personne physique)";
"101";"2872";"FR7200722";"01";"Propriété privée (personne physique)";
"107";"2868";"FR7200718";"01";"Propriété privée (personne physique)";
"138";"1900";"FR4100247";"01";"Propriété privée (personne physique)";
"139";"1899";"FR4100246";"01";"Propriété privée (personne physique)";
"151";"2786";"FR7300850";"01";"Propriété privée (personne physique)";
"156";"2838";"FR7300927";"01";"Propriété privée (personne physique)";
"159";"2839";"FR7300928";"01";"Propriété privée (personne physique)";
"161";"2827";"FR7300914";"01";"Propriété privée (personne physique)";"100"
"187";"3060";"FR7300935";"01";"Propriété privée (personne physique)";
"190";"3065";"FR7300945";"01";"Propriété privée (personne physique)";
"192";"3066";"FR7300946";"01";"Propriété privée (personne physique)";
"194";"3063";"FR7300942";"01";"Propriété privée (personne physique)";
"195";"2782";"FR7300932";"01";"Propriété privée (personne physique)";
"209";"3059";"FR7300934";"01";"Propriété privée (personne physique)";
"214";"2796";"FR7300862";"01";"Propriété privée (personne physique)";
"219";"2795";"FR7300861";"01";"Propriété privée (personne physique)";
