"FPK_NATURA";"SITECODE";"CD_INSEE";"NUTS";"LB_ADM";"CD_INSEE_REG_NEW";"LB_REG_NEW"
1776,00;"FR4201810";"42";"FR42";"ALSACE";"44";"Grand-Est"
1794,00;"FR4202003";"42";"FR42";"ALSACE";"44";"Grand-Est"
1844,00;"FR4100175";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1845,00;"FR4100177";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1849,00;"FR4100194";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1867,00;"FR3102004";"31";"FR30";"NORD-PAS-DE-CALAIS";"32";"Hauts-De-France"
1873,00;"FR4100157";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1892,00;"FR4100193";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1899,00;"FR4100246";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1900,00;"FR4100247";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1905,00;"FR4100197";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1906,00;"FR4100198";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1908,00;"FR4100201";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1909,00;"FR4100202";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1912,00;"FR4100205";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1914,00;"FR4100207";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1916,00;"FR4100209";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1917,00;"FR4100210";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1918,00;"FR4100211";"41";"FR41";"LORRAINE";"44";"Grand-Est"
1970,00;"FR7200670";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2013,00;"FR5202010";"52";"FR51";"PAYS-DE-LA-LOIRE";"52";"Pays-de-la-Loire"
2014,00;"FR5202011";"52";"FR51";"PAYS-DE-LA-LOIRE";"52";"Pays-de-la-Loire"
2015,00;"FR5202012";"52";"FR51";"PAYS-DE-LA-LOIRE";"52";"Pays-de-la-Loire"
2016,00;"FR5202013";"52";"FR51";"PAYS-DE-LA-LOIRE";"52";"Pays-de-la-Loire"
2137,00;"FR2100344";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
2173,00;"FR2200392";"22";"FR22";"PICARDIE";"32";"Hauts-De-France"
2181,00;"FR2200387";"22";"FR22";"PICARDIE";"32";"Hauts-De-France"
2478,00;"FR9101382";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2479,00;"FR9101383";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2489,00;"FR9101475";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2496,00;"FR9101487";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2501,00;"FR9101476";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2513,00;"FR9101461";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2555,00;"FR8301018";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
2667,00;"FR9402013";"94";"FR83";"CORSE";"94";"Corse"
2668,00;"FR9402014";"94";"FR83";"CORSE";"94";"Corse"
2669,00;"FR9402015";"94";"FR83";"CORSE";"94";"Corse"
2670,00;"FR9402016";"94";"FR83";"CORSE";"94";"Corse"
2781,00;"FR7300858";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2782,00;"FR7300932";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2784,00;"FR7300848";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2785,00;"FR7300849";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2786,00;"FR7300850";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2786,00;"FR7300850";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
2787,00;"FR7300851";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2793,00;"FR7300859";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2795,00;"FR7300861";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2796,00;"FR7300862";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2801,00;"FR7300855";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2802,00;"FR7300822";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2812,00;"FR7300821";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2819,00;"FR7300836";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2827,00;"FR7300914";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2835,00;"FR7300924";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2838,00;"FR7300927";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2839,00;"FR7300928";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2848,00;"FR7300880";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2849,00;"FR7300881";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2850,00;"FR7300883";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2851,00;"FR7300884";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2852,00;"FR7300885";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2856,00;"FR7300893";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2859,00;"FR7300900";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2859,00;"FR7300900";"74";"FR63";"LIMOUSIN";"75";"Nouvelle-Aquitaine"
2859,00;"FR7300900";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
2860,00;"FR7300902";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2865,00;"FR7300887";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
2868,00;"FR7200718";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2871,00;"FR7200721";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2872,00;"FR7200722";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2873,00;"FR7200723";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2883,00;"FR7200738";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2889,00;"FR7200692";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2903,00;"FR7200710";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2904,00;"FR7200711";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
2905,00;"FR7200712";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
